SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
903,141808,347,141808,11,829,14,829,1047,429
267,50020,142,50020,11,841,8,841,994,417
345,57502,165,57502,11,834,18,834,1086,436
167,36557,85,36557,12,786,14,786,1010,445
306,69893,171,69893,14,795,20,795,1094,440
154,35576,156,35576,13,812,21,812,1020,439
1686,273269,757,273269,15,803,14,803,1055,424
464,71427,198,71427,6,795,19,795,1092,443
233,59062,132,59062,11,790,15,790,1121,421
891,151350,506,151350,13,799,16,799,1092,455
337,80140,195,80140,8,807,13,807,1010,416
792,115420,362,115420,10,811,14,811,1058,431
2192,494983,1537,494983,11,769,18,769,1055,445
307,47306,171,47306,17,771,10,771,1121,433
658,90251,291,90251,14,822,13,822,1137,451
219,42305,157,42305,8,730,19,730,1035,442
686,113327,406,113327,13,845,22,845,1093,434
628,101899,350,101899,5,823,17,823,1048,464
254,47979,170,47979,8,817,14,817,1059,436
247,46253,139,46253,7,775,19,775,1054,435
232,50907,165,50907,5,796,20,796,1049,453
405,60626,318,60626,11,839,21,839,1072,465
292,63026,224,63026,7,798,19,798,1017,442
342,73295,295,73295,10,753,15,753,1068,461
816,148378,503,148378,7,855,25,855,1092,467
437,75508,235,75508,17,795,16,795,1076,425
888,158453,602,158453,10,795,28,795,1047,470
646,118015,361,118015,18,845,24,845,1092,457
6689,1197056,4129,1197056,9,790,14,790,1057,446
829,171386,452,171386,7,821,11,821,1043,418
2302,373138,1100,373138,13,819,13,819,1025,450
653,153039,511,153039,7,802,13,802,1075,438
200,40871,161,40871,6,792,14,792,1090,442
277,55190,187,55190,7,782,15,782,1046,436
266,45581,154,45581,14,743,21,743,1126,475
277,49533,183,49533,14,755,13,755,1075,442
374,70196,275,70196,12,827,13,827,1075,454
246,40225,179,40225,11,840,14,840,1084,465
330,76745,344,76745,14,841,14,841,1035,433
397,69541,222,69541,7,779,15,779,1102,423
644,84454,254,84454,12,810,18,810,1107,438
350,70948,258,70948,8,817,20,817,1050,438
584,117129,413,117129,11,832,13,832,1081,434
280,66309,159,66309,11,794,18,794,1028,440
393,71537,186,71537,13,799,13,799,1041,444
704,110876,362,110876,9,811,24,811,1113,451
