SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
994,205204,1058,205204,8,887,19,887,600,599
449,98777,522,98777,5,811,28,811,604,614
276,53465,322,53465,5,800,30,800,605,584
577,110771,574,110771,11,831,32,831,602,584
623,115490,621,115490,5,833,23,833,605,607
342,58585,349,58585,3,775,19,775,602,575
364,74970,393,74970,9,835,31,835,600,609
368,72957,403,72957,9,811,23,811,601,581
919,156096,971,156096,4,828,23,828,605,619
338,65940,378,65940,7,878,19,878,605,585
405,73513,460,73513,5,831,31,831,605,579
213,32171,219,32171,5,810,23,810,601,573
175,30906,154,30906,5,848,24,848,603,590
695,136158,788,136158,11,800,16,800,602,589
413,81054,495,81054,6,790,25,790,603,578
574,111990,661,111990,5,823,21,823,605,588
325,57353,407,57353,8,825,30,825,601,598
582,94249,514,94249,2,792,26,792,603,607
293,50070,244,50070,5,802,31,802,600,600
2213,429908,2465,429908,8,786,20,786,600,577
912,169135,1169,169135,7,790,23,790,602,595
482,85271,475,85271,3,791,13,791,604,579
302,49386,265,49386,6,848,25,848,601,590
