0.000946 2508.259000 3780 6 7 0 8971 25 1044 1588 0 23 1 2368 0 0 [3780],[],[],[],[],[],[],[],[]
0.000946 1002499.225250 3780 7 8 0 8971 25 1044 1588 0 23 0 2369 0 0 [3780],[],[],[],[],[],[],[],[]
0.001101 2500.795250 5713 8 4 0 8971 25 1044 1589 0 23 0 2368 0 0 [5713],[],[],[],[],[],[],[],[]
0.002383 2500.395250 10617 4 8 0 8971 25 1044 1588 0 23 0 2369 0 0 [10617],[],[],[],[],[],[],[],[]
0.002428 2500.739250 3884 8 4 0 8971 25 1044 1589 0 23 0 2368 0 0 [3884],[],[],[],[],[],[],[],[]
0.002530 2500.339250 253 2 3 0 8971 24 1045 1589 0 23 0 2368 0 0 [253],[],[],[],[],[],[],[],[]
0.002916 2491.469250 7640 8 4 0 8971 24 1045 1590 0 23 0 2367 0 0 [7640],[],[],[],[],[],[],[],[]
0.003793 2491.125250 3799 4 8 0 8971 24 1045 1589 0 23 0 2368 0 0 [3799],[],[],[],[],[],[],[],[]
0.003912 2491.525250 12717 8 4 0 8971 24 1045 1590 0 23 0 2367 0 0 [12717],[],[],[],[],[],[],[],[]
0.003927 2491.153250 1413 4 8 0 8971 24 1045 1589 0 23 0 2368 0 0 [1413],[],[],[],[],[],[],[],[]
0.004873 2491.525250 6872 4 8 0 8971 24 1045 1588 0 23 0 2369 0 0 [6872],[],[],[],[],[],[],[],[]
0.004966 2491.897250 7544 4 8 0 8971 24 1045 1587 0 23 0 2370 0 0 [7544],[],[],[],[],[],[],[],[]
0.005340 2492.269250 7779 4 8 0 8971 24 1045 1586 0 23 0 2371 0 0 [7779],[],[],[],[],[],[],[],[]
0.005435 2492.669250 682 8 4 0 8971 24 1045 1587 0 23 0 2370 0 0 [682],[],[],[],[],[],[],[],[]
0.005450 2492.297250 1437 6 7 0 8971 24 1045 1587 0 22 1 2370 0 0 [1437],[],[],[],[],[],[],[],[]
0.005451 1002483.263500 1437 7 8 0 8971 24 1045 1587 0 22 0 2371 0 0 [1437],[],[],[],[],[],[],[],[]
0.005768 2484.833500 10544 8 4 0 8971 24 1045 1588 0 22 0 2370 0 0 [10544],[],[],[],[],[],[],[],[]
0.005950 2484.461500 12306 8 4 0 8971 24 1045 1589 0 22 0 2369 0 0 [12306],[],[],[],[],[],[],[],[]
0.006777 2484.145500 6014 8 4 0 8971 24 1045 1590 0 22 0 2368 0 0 [6014],[],[],[],[],[],[],[],[]
0.007966 2483.773500 3576 8 4 0 8971 24 1045 1591 0 22 0 2367 0 0 [3576],[],[],[],[],[],[],[],[]
0.008046 2483.401500 2349 8 4 0 8971 24 1045 1592 0 22 0 2366 0 0 [2349],[],[],[],[],[],[],[],[]
0.008159 2483.029500 12167 8 4 0 8971 24 1045 1593 0 22 0 2365 0 0 [12167],[],[],[],[],[],[],[],[]
0.008167 2482.657500 4509 3 7 0 8971 24 1044 1593 0 22 1 2365 0 0 [4509],[],[],[],[],[],[],[],[]
0.008167 1002481.302500 4509 7 8 0 8971 24 1044 1593 0 22 0 2366 0 0 [4509],[],[],[],[],[],[],[],[]
0.008509 2482.872500 8033 8 4 0 8971 24 1044 1594 0 22 0 2365 0 0 [8033],[],[],[],[],[],[],[],[]
0.008616 2482.472500 7686 2 6 0 8971 23 1044 1594 0 23 0 2365 0 0 [7686],[],[],[],[],[],[],[],[]
0.008719 2481.472500 9849 6 7 0 8971 23 1044 1594 0 22 1 2365 0 0 [9849],[],[],[],[],[],[],[],[]
0.008719 1002472.461250 9849 7 8 0 8971 23 1044 1594 0 22 0 2366 0 0 [9849],[],[],[],[],[],[],[],[]
0.008902 2474.031250 1249 8 4 0 8971 23 1044 1595 0 22 0 2365 0 0 [1249],[],[],[],[],[],[],[],[]
0.008995 2473.631250 2059 3 7 0 8971 23 1043 1595 0 22 1 2365 0 0 [2059],[],[],[],[],[],[],[],[]
0.008996 1002472.321250 2059 7 8 0 8971 23 1043 1595 0 22 0 2366 0 0 [2059],[],[],[],[],[],[],[],[]
0.009831 2473.891250 5156 2 3 0 8971 22 1044 1595 0 22 0 2366 0 0 [5156],[],[],[],[],[],[],[],[]
0.010158 2465.021250 691 8 4 0 8971 22 1044 1596 0 22 0 2365 0 0 [691],[],[],[],[],[],[],[],[]
0.010191 2464.621250 10095 4 8 0 8971 22 1044 1595 0 22 0 2366 0 0 [10095],[],[],[],[],[],[],[],[]
0.010298 2464.937250 11385 8 4 0 8971 22 1044 1596 0 22 0 2365 0 0 [11385],[],[],[],[],[],[],[],[]
0.011205 2464.621250 12940 6 7 0 8971 22 1044 1596 0 21 1 2365 0 0 [12940],[],[],[],[],[],[],[],[]
0.011205 1002455.610000 12940 7 8 0 8971 22 1044 1596 0 21 0 2366 0 0 [12940],[],[],[],[],[],[],[],[]
0.011212 2457.180000 8080 8 4 0 8971 22 1044 1597 0 21 0 2365 0 0 [8080],[],[],[],[],[],[],[],[]
0.011354 2456.780000 13584 4 8 0 8971 22 1044 1596 0 21 0 2366 0 0 [13584],[],[],[],[],[],[],[],[]
0.011410 2457.096000 10693 1 2 0 8970 23 1044 1596 0 21 0 2366 0 0 [],[],[12813,12813],[],[],[],[],[],[]
0.011991 2466.501000 3988 3 7 0 8970 23 1043 1596 0 21 1 2366 0 0 [3988],[],[],[],[],[],[],[],[]
0.011991 1002465.146000 3988 7 8 0 8970 23 1043 1596 0 21 0 2367 0 0 [3988],[],[],[],[],[],[],[],[]
