,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,993,168942,31,168942,26,3553,14,3553
0,432,89471,13,89471,48,3570,16,3570
0,566,91536,13,91536,45,3482,10,3482
0,354,38904,17,38904,78,3539,9,3539
0,742,118352,20,118352,67,3576,6,3576
0,526,63421,23,63421,49,3534,16,3534
0,340,87604,5,87604,45,3522,3,3522
0,603,146844,13,146844,47,3546,10,3546
0,542,71713,5,71713,48,3539,11,3539
0,1863,392778,28,392778,38,3592,13,3592
0,1967,213900,30,213900,69,3523,13,3523
0,311,67889,9,67889,36,3593,10,3593
0,501,93305,33,93305,50,3629,13,3629
0,1636,244172,31,244172,65,3540,12,3540
0,963,112918,9,112918,76,3567,15,3567
0,643,76233,6,76233,65,3587,13,3587
0,370,72196,12,72196,47,3631,19,3631
0,606,113831,12,113831,54,3609,20,3609
0,213,39095,5,39095,41,3538,9,3538
0,1821,286865,20,286865,53,3522,12,3522
0,767,129263,12,129263,49,3544,15,3544
0,3209,513133,30,513133,53,3568,18,3568
0,800,145931,16,145931,75,3581,10,3581
0,711,87341,10,87341,50,3591,11,3591
0,674,118976,12,118976,53,3538,13,3538
0,1336,177873,30,177873,51,3573,25,3573
0,659,130721,15,130721,51,3528,10,3528
0,838,116832,8,116832,55,3604,9,3604
0,2206,327967,39,327967,46,3525,15,3525
0,3240,310655,71,310655,65,3485,15,3485
0,828,95375,17,95375,73,3648,9,3648
0,5051,902181,114,902181,45,3637,18,3637
0,855,133291,15,133291,47,3546,11,3546
0,879,142728,19,142728,57,3667,16,3667
0,321,40870,3,40870,45,3646,9,3646
0,479,51983,15,51983,65,3679,18,3679
0,295,50182,5,50182,49,3597,15,3597
0,418,68291,11,68291,34,3506,14,3506
0,365,53719,9,53719,54,3516,11,3516
0,691,128180,22,128180,38,3641,11,3641
0,429,54727,8,54727,69,3626,9,3626
0,439,77669,9,77669,50,3555,6,3555
0,966,102371,11,102371,68,3623,15,3623
0,519,69067,13,69067,66,3565,11,3565
0,1190,232547,25,232547,35,3554,14,3554
0,484,60919,15,60919,63,3554,18,3554
0,494,78211,13,78211,56,3633,11,3633
0,690,105228,10,105228,51,3604,11,3604
0,527,75488,10,75488,44,3591,13,3591
0,591,91962,17,91962,47,3637,13,3637
0,485,89418,19,89418,41,3576,14,3576
0,509,92227,14,92227,45,3572,12,3572
0,964,121142,19,121142,49,3551,17,3551
0,356,97836,13,97836,43,3542,5,3542
0,1206,181598,17,181598,60,3523,14,3523
0,230,39186,11,39186,48,3520,10,3520
0,491,112072,12,112072,35,3551,7,3551
0,493,72685,8,72685,57,3548,7,3548
0,670,82676,11,82676,70,3593,12,3593
0,443,93457,12,93457,51,3550,17,3550
0,686,112387,28,112387,49,3495,11,3495
0,1545,215227,22,215227,40,3553,6,3553
0,288,42354,13,42354,62,3724,17,3724
0,476,92353,18,92353,42,3634,16,3634
0,327,64503,11,64503,47,3601,13,3601
0,604,90778,15,90778,57,3582,6,3582
0,2039,270097,23,270097,56,3577,11,3577
0,483,82779,14,82779,49,3508,11,3508
0,490,71944,18,71944,60,3595,13,3595
0,890,129827,15,129827,55,3563,15,3563
0,595,110960,10,110960,62,3529,6,3529
0,958,150096,23,150096,58,3577,18,3577
0,981,162819,24,162819,35,3573,11,3573
0,1362,260570,27,260570,57,3425,11,3425
0,371,49357,7,49357,70,3473,12,3473
0,762,180210,10,180210,43,3597,12,3597
0,394,59381,12,59381,57,3551,12,3551
0,173,31747,3,31747,44,3420,10,3420
0,191,47861,10,47861,35,3518,8,3518
0,856,162468,12,162468,51,3643,11,3643
0,371,55326,12,55326,63,3555,16,3555
0,1313,176785,30,176785,47,3602,11,3602
0,1029,118066,10,118066,81,3570,8,3570
0,760,130398,13,130398,43,3557,11,3557
0,754,118089,12,118089,59,3478,8,3478
0,955,171195,10,171195,48,3577,10,3577
0,523,118647,7,118647,34,3660,12,3660
0,753,91897,10,91897,55,3549,7,3549
0,515,92230,10,92230,34,3602,18,3602
0,241,40953,13,40953,57,3648,26,3648
0,358,56223,5,56223,43,3469,13,3469
0,1037,186728,21,186728,36,3560,19,3560
0,329,59354,7,59354,42,3439,10,3439
0,1690,247636,21,247636,44,3576,11,3576
0,834,115930,6,115930,60,3568,15,3568
0,1242,139188,28,139188,65,3502,18,3502
0,505,82453,11,82453,50,3539,14,3539
0,853,121288,12,121288,39,3560,14,3560
0,844,142341,10,142341,61,3497,11,3497
0,1120,145716,20,145716,63,3588,22,3588
0,535,64809,17,64809,52,3628,24,3628
0,239,45047,4,45047,44,3561,14,3561
0,502,105118,8,105118,36,3462,9,3462
0,1232,151556,24,151556,36,3582,18,3582
0,804,151401,25,151401,38,3491,12,3491
0,302,59313,9,59313,34,3559,14,3559
0,427,82356,9,82356,56,3532,11,3532
0,943,127433,25,127433,45,3600,14,3600
0,10405,1695511,366,1695511,54,3507,20,3507
0,944,135118,20,135118,47,3634,10,3634
0,2281,282555,23,282555,55,3570,16,3570
0,415,54537,19,54537,50,3488,9,3488
0,444,57900,6,57900,66,3617,15,3617
0,1203,166023,18,166023,67,3576,11,3576
0,943,214956,23,214956,46,3607,14,3607
0,417,102499,15,102499,28,3546,14,3546
0,826,128417,12,128417,46,3596,11,3596
0,2602,361289,36,361289,65,3601,8,3601
0,611,80730,14,80730,72,3562,13,3562
0,439,79639,14,79639,46,3552,27,3552
0,639,109293,6,109293,46,3579,10,3579
0,734,102276,14,102276,69,3515,10,3515
0,1042,125622,13,125622,61,3612,11,3612
0,840,134849,18,134849,46,3530,13,3530
0,1458,360157,56,360157,26,3666,15,3666
0,1404,135001,12,135001,69,3595,13,3595
0,173,78947,7,78947,21,3659,7,3659
0,254,31066,10,31066,66,3498,12,3498
0,477,89999,22,89999,40,3583,24,3583
0,405,93207,13,93207,45,3588,12,3588
0,378,85615,19,85615,34,3534,17,3534
0,1965,244002,32,244002,53,3523,21,3523
0,881,141184,17,141184,64,3529,9,3529
