ID1,ID2,Distance
N10287|12914|0.152545,N10293|15063|0.025165,0.00959842
N10287|12914|0.152545,N10289|12494|6.584233,0.0095889
N10287|12914|0.152545,N10291|9215|0.297228,0.00718864
N10287|12914|0.152545,N10292|12745|10.426725,0.014485
N10287|12914|0.152545,N10295|11465|3.790215,0.00796922
N9800|9049|1.854964,N9801|9255|0.525274,0.0095753
N9014|6784|0.319662,N9015|3320|7.930873,0.0144569
N9014|6784|0.319662,N9022|14703|1.081243,0.00877706
N9014|6784|0.319662,N9025|6918|0.081559,0.0128409
N8212|3379|2.0015,N8215|12696|0.926267,0.00957545
N9014|6784|0.319662,N9023|11168|2.870325,0.0136284
N9014|6784|0.319662,N9018|7598|0.2982,0.0136474
N9014|6784|0.319662,N9012|10720|4.925206,0.00964231
N8212|3379|2.0015,N8211|12256|2.243119,0.00877178
N9014|6784|0.319662,N9020|4511|0.732312,0.011199
N8212|3379|2.0015,N8213|10934|2.09326,0.00957527
N7989|2188|2.846173,N7993|10448|0.662572,0.00797809
N8212|3379|2.0015,N8221|15066|0.203033,0.0128034
N7870|15183|1.621198,N7866|2759|1.350889,0.0111957
N7870|15183|1.621198,N7868|11392|0.321167,0.00797891
N7870|15183|1.621198,N7867|10422|6.665587,0.0112044
N7870|15183|1.621198,N7865|3987|1.814854,0.0120114
N7870|15183|1.621198,N7874|3247|2.977378,0.0128084
N7870|15183|1.621198,N7873|10907|0.773937,0.0104038
N7870|15183|1.621198,N7875|11064|0.605176,0.00717985
N9109|5750|1.865902,N9114|4834|0.360012,0.0128458
N11297|4640|2.623846,N11295|15172|1.193887,0.00957076
N11297|4640|2.623846,N11302|12402|0.871678,0.0095719
N11297|4640|2.623846,N11299|10104|1.315655,0.0111827
N11297|4640|2.623846,N11300|3319|0.669401,0.00956572
N9109|5750|1.865902,N9112|8355|2.83724,0.00878959
N10447|13246|0.110299,N10431|7828|1.575569,0.0144117
N10447|13246|0.110299,N10445|4882|0.357601,0.00477434
N11297|4640|2.623846,N11298|3471|0.141363,0.00158624
N11297|4640|2.623846,N11303|7726|0.033303,0.0103828
N11297|4640|2.623846,N11301|6871|0.34186,0.00876469
N10447|13246|0.110299,N10422|2036|0.342888,0.013599
N10447|13246|0.110299,N10418|1810|2.513223,0.0135935
N10447|13246|0.110299,N10421|8745|1.144177,0.0144091
N11297|4640|2.623846,N11296|6332|1.146611,0.0079765
N10447|13246|0.110299,N10423|6595|0.241777,0.012789
N10447|13246|0.110299,N10448|13248|1.713373,0.00557548
N10447|13246|0.110299,N10440|4970|0.408025,0.0144527
N10447|13246|0.110299,N10446|8974|0.936407,0.00959531
N12389|8110|0.248527,N12388|5745|2.102193,0.00397048
N10945|12311|0.660128,N10937|9280|3.460756,0.00958839
N10945|12311|0.660128,N10948|11124|0.216113,0.0112212
N12389|8110|0.248527,N12390|5303|1.741499,0.0127923
N10945|12311|0.660128,N10927|3122|1.897128,0.0112073
N12389|8110|0.248527,N12411|10321|0.128523,0.0136338
N10945|12311|0.660128,N10949|10996|0.541421,0.0144624
N12389|8110|0.248527,N12395|13421|0.145069,0.0144266
N10945|12311|0.660128,N10955|7932|4.195777,0.0112215
N10945|12311|0.660128,N10936|8171|2.507872,0.0079722
N10945|12311|0.660128,N10928|13236|3.898013,0.010398
N12389|8110|0.248527,N12429|10823|1.857086,0.00717872
N10945|12311|0.660128,N10931|11758|3.093983,0.00959399
N10945|12311|0.660128,N10942|2944|0.507255,0.00637631
N12389|8110|0.248527,N12427|10053|0.612936,0.0120236
N12389|8110|0.248527,N12426|11476|0.350431,0.0128405
N10945|12311|0.660128,N10933|9891|0.474472,0.00717825
N10945|12311|0.660128,N10934|7367|0.650277,0.00717321
N10945|12311|0.660128,N10940|10906|0.728708,0.00717976
N10945|12311|0.660128,N10926|4749|2.796207,0.0103946
N10945|12311|0.660128,N10946|5802|0.844291,0.00397499
N10945|12311|0.660128,N10930|12571|1.501715,0.00637316
N10945|12311|0.660128,N10938|12689|2.390839,0.0088254
N10945|12311|0.660128,N10935|1937|3.616432,0.00878245
N9698|2754|1.47418,N9697|10370|3.92626,0.00716485
N10945|12311|0.660128,N10952|6028|0.788163,0.0120078
N9698|2754|1.47418,N9704|7390|0.176743,0.0144199
N10945|12311|0.660128,N10932|12321|0.586624,0.0079763
N10945|12311|0.660128,N10943|11327|1.182719,0.00637598
N9698|2754|1.47418,N9700|11759|0.40522,0.00397045
N10945|12311|0.660128,N10939|7611|4.636576,0.012009
N10945|12311|0.660128,N10941|9536|1.938424,0.0087825
N10945|12311|0.660128,N10956|3994|1.530104,0.0112042
N10945|12311|0.660128,N10953|2992|0.085639,0.00877067
N10945|12311|0.660128,N10944|4485|4.304787,0.0087881
N10199|5640|2.894658,N10202|12849|0.799718,0.0144165
N10945|12311|0.660128,N10925|13316|2.720222,0.00718034
N10755|1951|7.426531,N10754|6550|1.565379,0.0119912
N10199|5640|2.894658,N10198|10896|0.4991,0.0119979
N7506|4764|2.176507,N7502|13966|1.324281,0.00879673
N7506|4764|2.176507,N7504|3897|0.852163,0.00959441
N10755|1951|7.426531,N10753|7857|1.035631,0.0136189
N7506|4764|2.176507,N7493|5448|0.239993,0.0120235
N7506|4764|2.176507,N7503|10311|2.878174,0.0136427
N10755|1951|7.426531,N10750|7535|0.837832,0.013599
N10468|11823|3.616868,N10466|6774|0.300066,0.00477373
N10468|11823|3.616868,N10470|6024|0.486869,0.00958089
N8538|2368|2.140737,N8543|3083|0.925865,0.0136289
N10468|11823|3.616868,N10464|5427|0.833027,0.0111866
N8538|2368|2.140737,N8539|6531|0.028969,0.0120055
N8538|2368|2.140737,N8540|15123|1.367606,0.0136285
N8538|2368|2.140737,N8541|9089|0.930453,0.0136118
