,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,1283,168942,32,168942,59,3553,14,3553
0,536,89471,11,89471,57,3570,10,3570
0,652,91536,14,91536,55,3482,17,3482
0,260,38904,5,38904,47,3539,1,3539
0,727,118352,15,118352,65,3576,4,3576
0,359,63421,2,63421,55,3534,11,3534
0,755,87604,7,87604,67,3522,16,3522
0,775,146844,18,146844,47,3546,8,3546
0,424,71713,8,71713,25,3539,12,3539
0,3190,392778,28,392778,58,3592,6,3592
0,1057,213900,17,213900,37,3523,8,3523
0,454,67889,26,67889,44,3593,12,3593
0,962,93305,19,93305,83,3629,11,3629
0,1922,244172,17,244172,53,3540,7,3540
0,532,112918,19,112918,49,3567,11,3567
0,387,76233,10,76233,55,3587,10,3587
0,329,72196,7,72196,29,3631,6,3631
0,632,113831,14,113831,56,3609,13,3609
0,244,39095,7,39095,48,3538,16,3538
0,2313,286865,28,286865,65,3522,10,3522
0,1244,129263,12,129263,75,3544,14,3544
0,3979,513133,86,513133,58,3568,10,3568
0,794,145931,14,145931,44,3581,12,3581
0,627,87341,5,87341,51,3591,7,3591
0,660,118976,15,118976,60,3538,19,3538
0,1075,177873,23,177873,38,3573,14,3573
0,809,130721,18,130721,50,3528,16,3528
0,771,116832,30,116832,40,3604,14,3604
0,2324,327967,46,327967,56,3525,6,3525
0,2393,310655,50,310655,41,3485,14,3485
0,553,95375,22,95375,58,3648,15,3648
0,4892,902181,217,902181,38,3637,18,3637
0,796,133291,16,133291,55,3546,5,3546
0,888,142728,19,142728,64,3667,10,3667
0,317,40870,9,40870,46,3646,11,3646
0,303,51983,11,51983,55,3679,15,3679
0,309,50182,11,50182,51,3597,10,3597
0,599,68291,6,68291,56,3506,11,3506
0,245,53719,16,53719,25,3516,18,3516
0,529,128180,19,128180,31,3641,15,3641
0,310,54727,14,54727,33,3626,15,3626
0,436,77669,13,77669,45,3555,8,3555
0,580,102371,6,102371,55,3623,7,3623
0,369,69067,9,69067,45,3565,14,3565
0,1236,232547,30,232547,39,3554,12,3554
0,441,60919,16,60919,52,3554,16,3554
0,457,78211,14,78211,49,3633,11,3633
0,686,105228,15,105228,50,3604,14,3604
0,452,75488,13,75488,48,3591,10,3591
0,497,91962,13,91962,37,3637,8,3637
0,458,89418,11,89418,37,3576,13,3576
0,520,92227,16,92227,36,3572,18,3572
0,783,121142,19,121142,51,3551,16,3551
0,716,97836,9,97836,56,3542,9,3542
0,1775,181598,18,181598,56,3523,7,3523
0,340,39186,5,39186,59,3520,13,3520
0,701,112072,15,112072,66,3551,17,3551
0,479,72685,6,72685,47,3548,9,3548
0,362,82676,12,82676,47,3593,17,3593
0,992,93457,14,93457,60,3550,12,3550
0,727,112387,10,112387,53,3495,7,3495
0,1399,215227,23,215227,56,3553,14,3553
0,365,42354,11,42354,60,3724,10,3724
0,571,92353,18,92353,58,3634,10,3634
0,375,64503,4,64503,38,3601,8,3601
0,452,90778,6,90778,41,3582,5,3582
0,2098,270097,57,270097,66,3577,7,3577
0,804,82779,16,82779,79,3508,13,3508
0,498,71944,9,71944,68,3595,16,3595
0,856,129827,22,129827,41,3563,17,3563
0,581,110960,13,110960,47,3529,11,3529
0,1007,150096,4,150096,39,3577,10,3577
0,1210,162819,19,162819,53,3573,10,3573
0,1502,260570,48,260570,48,3425,15,3425
0,322,49357,8,49357,55,3473,20,3473
0,868,180210,8,180210,32,3597,8,3597
0,300,59381,9,59381,44,3551,5,3551
0,219,31747,9,31747,37,3420,12,3420
0,343,47861,4,47861,57,3518,6,3518
0,593,162468,15,162468,44,3643,14,3643
0,408,55326,6,55326,45,3555,10,3555
0,969,176785,16,176785,37,3602,11,3602
0,552,118066,9,118066,46,3570,9,3570
0,1113,130398,19,130398,53,3557,9,3557
0,1071,118089,12,118089,57,3478,16,3478
0,1199,171195,5,171195,53,3577,13,3577
0,680,118647,15,118647,47,3660,12,3660
0,433,91897,10,91897,33,3549,11,3549
0,589,92230,16,92230,44,3602,9,3602
0,218,40953,5,40953,32,3648,14,3648
0,315,56223,17,56223,47,3469,27,3469
0,1164,186728,19,186728,50,3560,18,3560
0,338,59354,7,59354,41,3439,16,3439
0,1164,247636,21,247636,44,3576,9,3576
0,581,115930,19,115930,43,3568,16,3568
0,893,139188,28,139188,50,3502,16,3502
0,797,82453,11,82453,56,3539,14,3539
0,694,121288,12,121288,50,3560,13,3560
0,650,142341,17,142341,47,3497,13,3497
0,894,145716,19,145716,53,3588,12,3588
0,716,64809,9,64809,83,3628,17,3628
0,242,45047,9,45047,58,3561,4,3561
0,422,105118,44,105118,25,3462,17,3462
0,1101,151556,30,151556,63,3582,12,3582
0,1024,151401,18,151401,49,3491,16,3491
0,383,59313,17,59313,65,3559,15,3559
0,501,82356,11,82356,55,3532,6,3532
0,883,127433,13,127433,54,3600,7,3600
0,9242,1695511,114,1695511,47,3507,11,3507
0,862,135118,27,135118,63,3634,14,3634
0,1720,282555,27,282555,52,3570,13,3570
0,257,54537,5,54537,39,3488,12,3488
0,455,57900,10,57900,38,3617,14,3617
0,963,166023,21,166023,51,3576,14,3576
0,1278,214956,16,214956,49,3607,17,3607
0,535,102499,17,102499,41,3546,18,3546
0,587,128417,15,128417,36,3596,9,3596
0,3023,361289,38,361289,65,3601,12,3601
0,575,80730,10,80730,52,3562,12,3562
0,566,79639,21,79639,69,3552,16,3552
0,555,109293,10,109293,40,3579,5,3579
0,498,102276,24,102276,39,3515,16,3515
0,1043,125622,13,125622,77,3612,10,3612
0,895,134849,24,134849,38,3530,10,3530
0,2946,360157,22,360157,65,3666,6,3666
0,959,135001,6,135001,58,3595,5,3595
0,381,78947,8,78947,37,3659,6,3659
0,209,31066,5,31066,41,3498,11,3498
0,759,89999,10,89999,53,3583,9,3583
0,781,93207,9,93207,51,3588,11,3588
0,467,85615,12,85615,39,3534,8,3534
0,1572,244002,54,244002,51,3523,11,3523
0,839,141184,15,141184,37,3529,12,3529
0,557,85587,8,85587,57,3612,12,3612
0,1984,291935,34,291935,55,3532,9,3532
0,781,97576,6,97576,55,3602,14,3602
0,606,100267,23,100267,46,3579,14,3579
0,839,134308,17,134308,47,3559,6,3559
0,296,56032,6,56032,37,3496,8,3496
0,1829,280674,24,280674,61,3561,4,3561
0,1711,196485,29,196485,62,3621,22,3621
0,1177,200588,29,200588,53,3588,16,3588
0,2500,423909,33,423909,51,3484,12,3484
0,470,105245,12,105245,45,3603,8,3603
0,1112,84553,7,84553,85,3518,14,3518
0,904,156054,20,156054,67,3672,18,3672
0,338,55594,13,55594,55,3611,20,3611
0,365,72697,9,72697,43,3609,16,3609
0,263,48170,7,48170,34,3491,12,3491
0,2610,260709,26,260709,76,3563,7,3563
0,770,115598,13,115598,49,3652,14,3652
0,297,59874,2,59874,47,3535,10,3535
0,365,53750,5,53750,47,3515,5,3515
0,1641,278543,36,278543,31,3623,14,3623
0,926,208145,30,208145,41,3531,18,3531
0,675,173598,36,173598,53,3573,16,3573
0,690,104299,9,104299,58,3610,10,3610
0,1254,198836,32,198836,47,3579,11,3579
0,376,70940,11,70940,39,3638,14,3638
0,476,100702,18,100702,33,3597,17,3597
0,286,60780,7,60780,38,3600,6,3600
0,1032,159361,27,159361,56,3546,9,3546
0,535,83541,5,83541,57,3505,7,3505
0,250,50796,3,50796,36,3587,6,3587
0,681,109709,15,109709,52,3611,14,3611
0,423,90588,10,90588,46,3560,11,3560
0,1834,265357,40,265357,65,3556,13,3556
0,521,75869,12,75869,62,3458,14,3458
0,687,93044,7,93044,66,3544,11,3544
0,549,104531,14,104531,36,3642,14,3642
0,591,109125,11,109125,46,3568,7,3568
0,814,120278,22,120278,62,3511,16,3511
0,461,97891,14,97891,38,3518,15,3518
0,410,71849,10,71849,52,3560,10,3560
0,475,126632,9,126632,44,3526,11,3526
0,1407,205309,46,205309,43,3470,7,3470
0,994,251804,23,251804,36,3576,12,3576
0,821,73454,12,73454,62,3686,11,3686
0,697,90626,8,90626,58,3546,12,3546
0,488,68850,14,68850,57,3557,8,3557
0,428,58797,10,58797,81,3566,11,3566
0,1162,246462,27,246462,42,3526,9,3526
0,550,97313,9,97313,52,3563,10,3563
0,504,111011,18,111011,35,3620,9,3620
0,381,94948,27,94948,39,3620,10,3620
0,258,43936,5,43936,43,3596,9,3596
0,2672,405581,70,405581,43,3525,9,3525
0,398,88677,14,88677,38,3573,15,3573
0,2352,272492,35,272492,65,3652,10,3652
0,620,124942,12,124942,37,3486,13,3486
0,911,148900,16,148900,64,3561,16,3561
0,186,49711,8,49711,33,3500,11,3500
0,708,137802,19,137802,47,3592,5,3592
0,1171,271842,19,271842,52,3610,13,3610
0,696,135094,12,135094,36,3552,23,3552
0,196,45070,8,45070,34,3521,14,3521
0,976,264922,18,264922,32,3682,7,3682
0,654,91793,13,91793,62,3654,15,3654
0,341,63655,9,63655,54,3584,14,3584
0,5653,864604,115,864604,70,3506,11,3506
0,578,131566,12,131566,42,3566,9,3566
0,394,68425,7,68425,44,3581,12,3581
0,497,130600,19,130600,39,3566,8,3566
0,471,73331,18,73331,52,3543,11,3543
0,632,78219,9,78219,53,3506,11,3506
0,806,134209,21,134209,58,3688,15,3688
0,789,87777,8,87777,69,3635,8,3635
0,839,114510,18,114510,55,3617,21,3617
0,780,113489,19,113489,64,3561,15,3561
0,503,76245,10,76245,50,3580,15,3580
0,371,59748,9,59748,43,3581,8,3581
0,1476,313211,58,313211,39,3513,10,3513
0,340,75296,14,75296,44,3519,11,3519
0,769,166215,16,166215,34,3563,15,3563
0,2458,517274,78,517274,41,3590,10,3590
0,306,57006,6,57006,48,3629,20,3629
0,1747,271776,49,271776,45,3646,14,3646
0,1354,192646,42,192646,54,3544,15,3544
0,323,41928,4,41928,58,3510,14,3510
0,1302,272992,30,272992,42,3499,9,3499
0,1218,206989,15,206989,48,3464,9,3464
0,1055,118841,19,118841,58,3536,9,3536
0,1028,146383,29,146383,54,3523,16,3523
0,587,85692,11,85692,40,3582,15,3582
0,384,56817,12,56817,42,3516,15,3516
0,760,157055,17,157055,45,3542,10,3542
0,550,110240,20,110240,40,3560,15,3560
0,298,59129,10,59129,47,3614,10,3614
0,370,86644,15,86644,41,3634,14,3634
0,359,58045,14,58045,59,3621,13,3621
0,1428,248245,14,248245,47,3482,9,3482
0,1121,127590,20,127590,52,3554,9,3554
0,911,160788,26,160788,46,3568,22,3568
0,506,116568,21,116568,26,3525,15,3525
0,412,48573,9,48573,84,3614,19,3614
0,843,147186,21,147186,41,3536,13,3536
0,608,118930,13,118930,44,3597,12,3597
0,327,58535,6,58535,44,3575,10,3575
0,255,37801,7,37801,62,3550,9,3550
0,565,128746,8,128746,43,3547,7,3547
0,705,107548,25,107548,55,3462,11,3462
0,488,59207,14,59207,74,3444,12,3444
0,1117,159897,16,159897,44,3561,11,3561
0,1272,200164,27,200164,60,3597,7,3597
0,4022,695603,91,695603,65,3528,12,3528
0,2274,435098,28,435098,43,3613,9,3613
0,668,100444,16,100444,52,3580,13,3580
0,1141,119653,9,119653,48,3624,12,3624
0,2828,387025,27,387025,58,3647,12,3647
0,915,102462,12,102462,59,3509,14,3509
