,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,883,168942,19,168942,44,3553,13,3553
0,582,89471,15,89471,41,3570,13,3570
0,784,91536,12,91536,76,3482,5,3482
0,253,38904,10,38904,54,3539,9,3539
0,808,118352,15,118352,62,3576,14,3576
0,524,63421,4,63421,57,3534,5,3534
0,666,87604,14,87604,62,3522,17,3522
0,1173,146844,19,146844,59,3546,12,3546
0,525,71713,17,71713,66,3539,10,3539
0,3150,392778,40,392778,70,3592,17,3592
0,1763,213900,28,213900,48,3523,15,3523
0,299,67889,21,67889,39,3593,24,3593
0,608,93305,12,93305,65,3629,9,3629
0,1260,244172,20,244172,38,3540,10,3540
0,998,112918,10,112918,73,3567,14,3567
0,362,76233,10,76233,46,3587,10,3587
0,600,72196,8,72196,79,3631,9,3631
0,649,113831,10,113831,48,3609,7,3609
0,227,39095,2,39095,58,3538,5,3538
0,1389,286865,38,286865,28,3522,10,3522
0,934,129263,12,129263,57,3544,9,3544
0,2666,513133,41,513133,60,3568,5,3568
0,989,145931,9,145931,69,3581,10,3581
0,563,87341,7,87341,67,3591,11,3591
0,593,118976,4,118976,57,3538,9,3538
0,1087,177873,17,177873,46,3573,13,3573
0,723,130721,14,130721,54,3528,13,3528
0,1151,116832,10,116832,66,3604,11,3604
0,1913,327967,37,327967,62,3525,21,3525
0,1899,310655,33,310655,58,3485,11,3485
0,781,95375,13,95375,54,3648,13,3648
0,6632,902181,55,902181,64,3637,14,3637
0,1031,133291,11,133291,61,3546,7,3546
0,1045,142728,19,142728,61,3667,11,3667
0,301,40870,7,40870,51,3646,13,3646
0,384,51983,10,51983,36,3679,16,3679
0,353,50182,8,50182,54,3597,11,3597
0,383,68291,8,68291,37,3506,17,3506
0,482,53719,18,53719,67,3516,14,3516
0,1197,128180,23,128180,66,3641,13,3641
0,365,54727,12,54727,40,3626,10,3626
0,401,77669,4,77669,41,3555,9,3555
0,595,102371,5,102371,48,3623,16,3623
0,266,69067,16,69067,37,3565,13,3565
0,1287,232547,30,232547,65,3554,15,3554
0,462,60919,6,60919,41,3554,14,3554
0,469,78211,7,78211,42,3633,19,3633
0,651,105228,12,105228,57,3604,12,3604
0,501,75488,7,75488,43,3591,13,3591
0,650,91962,24,91962,54,3637,18,3637
0,520,89418,9,89418,62,3576,14,3576
0,544,92227,16,92227,50,3572,10,3572
0,782,121142,16,121142,59,3551,8,3551
0,507,97836,12,97836,48,3542,3,3542
0,1195,181598,46,181598,43,3523,21,3523
0,257,39186,10,39186,53,3520,16,3520
0,428,112072,15,112072,30,3551,14,3551
0,720,72685,2,72685,67,3548,5,3548
0,356,82676,9,82676,34,3593,12,3593
0,498,93457,23,93457,47,3550,8,3550
0,554,112387,16,112387,43,3495,11,3495
0,1205,215227,31,215227,54,3553,12,3553
0,337,42354,8,42354,71,3724,16,3724
0,628,92353,5,92353,53,3634,10,3634
0,446,64503,7,64503,57,3601,10,3601
0,596,90778,9,90778,55,3582,12,3582
0,1996,270097,29,270097,65,3577,7,3577
0,462,82779,18,82779,61,3508,19,3508
0,637,71944,16,71944,68,3595,12,3595
0,845,129827,8,129827,56,3563,14,3563
0,844,110960,16,110960,60,3529,10,3529
0,1224,150096,11,150096,74,3577,9,3577
0,1174,162819,11,162819,47,3573,10,3573
0,2481,260570,64,260570,76,3425,15,3425
0,465,49357,9,49357,69,3473,9,3473
0,1126,180210,50,180210,60,3597,15,3597
0,458,59381,3,59381,71,3551,6,3551
0,217,31747,13,31747,43,3420,13,3420
0,305,47861,3,47861,48,3518,11,3518
0,1159,162468,11,162468,44,3643,7,3643
0,430,55326,24,55326,64,3555,12,3555
0,990,176785,11,176785,43,3602,14,3602
0,406,118066,23,118066,22,3570,19,3570
0,766,130398,7,130398,58,3557,10,3557
