,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,8412,126632,9,126632,404,3526,3,3526
0,18388,205309,11,205309,539,3470,9,3470
0,1647,251804,21,251804,44,3576,8,3576
0,535,73454,11,73454,53,3686,11,3686
0,7474,90626,7,90626,584,3546,8,3546
0,7664,68850,11,68850,659,3557,12,3557
0,364,58797,9,58797,51,3566,8,3566
0,16827,246462,17,246462,519,3526,10,3526
0,890,97313,11,97313,56,3563,12,3563
0,791,111011,19,111011,51,3620,7,3620
0,7943,94948,8,94948,645,3620,10,3620
0,2923,43936,13,43936,499,3596,18,3596
0,3271,405581,20,405581,60,3525,7,3525
0,533,88677,9,88677,51,3573,11,3573
0,1962,272492,58,272492,55,3652,14,3652
0,11669,124942,24,124942,635,3486,11,3486
0,14280,148900,14,148900,598,3561,8,3561
0,3596,49711,5,49711,526,3500,17,3500
0,9489,137802,16,137802,451,3592,17,3592
0,1762,271842,33,271842,60,3610,12,3610
0,10807,135094,12,135094,503,3552,13,3552
0,3882,45070,7,45070,544,3521,15,3521
0,27566,264922,23,264922,597,3682,12,3682
0,663,91793,14,91793,69,3654,10,3654
0,6027,63655,8,63655,597,3584,4,3584
0,71016,864604,108,864604,576,3506,10,3506
0,11957,131566,21,131566,602,3566,17,3566
0,5736,68425,10,68425,612,3581,7,3581
0,13157,130600,12,130600,688,3566,16,3566
0,422,73331,5,73331,48,3543,9,3543
0,687,78219,6,78219,74,3506,9,3506
0,12502,134209,14,134209,569,3688,9,3688
0,7694,87777,7,87777,595,3635,11,3635
0,10618,114510,26,114510,605,3617,24,3617
0,11567,113489,13,113489,676,3561,16,3561
0,6326,76245,15,76245,537,3580,12,3580
0,5260,59748,5,59748,546,3581,12,3581
0,24548,313211,24,313211,544,3513,10,3513
0,5718,75296,8,75296,553,3519,9,3519
0,1199,166215,11,166215,59,3563,6,3563
0,3379,517274,30,517274,48,3590,9,3590
0,4814,57006,5,57006,567,3629,13,3629
0,2397,271776,27,271776,63,3646,15,3646
0,15687,192646,20,192646,533,3544,9,3544
0,302,41928,7,41928,59,3510,12,3510
0,21753,272992,20,272992,536,3499,13,3499
0,17905,206989,23,206989,574,3464,13,3464
0,11225,118841,21,118841,572,3536,16,3536
0,936,146383,15,146383,63,3523,16,3523
0,8164,85692,12,85692,579,3582,5,3582
0,440,56817,13,56817,65,3516,13,3516
0,12946,157055,28,157055,594,3542,15,3542
0,10685,110240,15,110240,665,3560,7,3560
0,4200,59129,10,59129,469,3614,10,3614
0,7155,86644,8,86644,570,3634,17,3634
0,5090,58045,16,58045,548,3621,10,3621
0,1583,248245,16,248245,70,3482,10,3482
0,12283,127590,12,127590,641,3554,11,3554
0,1173,160788,5,160788,49,3568,9,3568
0,898,116568,10,116568,66,3525,9,3525
0,345,48573,5,48573,65,3614,14,3614
0,1193,147186,28,147186,61,3536,19,3536
0,10087,118930,17,118930,604,3597,13,3597
0,527,58535,10,58535,66,3575,13,3575
0,3709,37801,2,37801,570,3550,9,3550
0,856,128746,9,128746,52,3547,14,3547
0,804,107548,13,107548,50,3462,17,3462
0,463,59207,2,59207,58,3444,15,3444
0,1231,159897,15,159897,51,3561,13,3561
0,1273,200164,57,200164,66,3597,6,3597
0,56730,695603,33,695603,539,3528,5,3528
0,38281,435098,82,435098,573,3613,11,3613
0,746,100444,10,100444,71,3580,10,3580
0,9165,119653,10,119653,519,3624,11,3624
0,22773,387025,50,387025,456,3647,17,3647
0,9399,102462,12,102462,591,3509,5,3509
