SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled,SN HIV+,CN HIV+
105,58585,11,58585,4,775,4,775,603,99,276,82
143,74970,9,74970,5,835,2,835,604,80,286,70
125,72957,9,72957,3,811,5,811,605,85,265,72
275,156096,23,156096,3,828,2,828,601,84,280,72
125,65940,19,65940,5,878,6,878,603,107,275,89
170,73513,7,73513,1,831,5,831,601,91,258,76
50,32171,3,32171,2,810,3,810,605,93,283,80
52,30906,2,30906,4,848,5,848,604,97,266,78
257,136158,9,136158,3,800,3,800,600,101,272,82
155,81054,7,81054,4,790,3,790,600,97,272,82
265,111990,10,111990,3,823,0,823,600,80,285,67
167,57353,12,57353,1,825,5,825,605,94,290,80
139,94249,12,94249,3,792,2,792,600,93,254,74
89,50070,5,50070,6,802,3,802,605,101,272,78
785,429908,43,429908,3,786,2,786,600,82,274,72
200,169135,31,169135,5,790,2,790,603,91,276,71
119,85271,17,85271,5,791,8,791,602,102,265,82
101,49386,9,49386,7,848,7,848,602,102,283,84
