,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,1370,246462,36,246462,49,3526,12,3526
0,631,97313,10,97313,41,3563,16,3563
0,542,111011,15,111011,46,3620,9,3620
0,770,94948,12,94948,69,3620,9,3620
0,259,43936,6,43936,57,3596,9,3596
0,2774,405581,52,405581,56,3525,21,3525
0,729,88677,8,88677,70,3573,18,3573
0,1182,272492,22,272492,36,3652,12,3652
0,626,124942,8,124942,44,3486,15,3486
0,695,148900,11,148900,37,3561,4,3561
0,290,49711,5,49711,45,3500,6,3500
0,921,137802,12,137802,42,3592,9,3592
0,1799,271842,32,271842,69,3610,16,3610
0,719,135094,27,135094,33,3552,16,3552
0,298,45070,4,45070,72,3521,10,3521
0,2116,264922,19,264922,71,3682,13,3682
0,503,91793,13,91793,52,3654,17,3654
0,480,63655,9,63655,54,3584,15,3584
0,5225,864604,73,864604,42,3506,14,3506
0,800,131566,25,131566,53,3566,12,3566
0,314,68425,14,68425,47,3581,14,3581
0,1087,130600,32,130600,68,3566,15,3566
0,570,73331,7,73331,56,3543,9,3543
0,269,78219,15,78219,28,3506,8,3506
0,1058,134209,15,134209,61,3688,9,3688
0,786,87777,7,87777,69,3635,10,3635
0,1062,114510,15,114510,69,3617,17,3617
0,526,113489,21,113489,56,3561,19,3561
0,334,76245,10,76245,45,3580,14,3580
0,433,59748,8,59748,49,3581,15,3581
0,1999,313211,15,313211,65,3513,9,3513
0,476,75296,12,75296,49,3519,9,3519
0,875,166215,10,166215,65,3563,11,3563
0,4039,517274,36,517274,77,3590,15,3590
0,418,57006,14,57006,52,3629,20,3629
0,2049,271776,27,271776,59,3646,14,3646
0,1242,192646,21,192646,51,3544,7,3544
0,235,41928,8,41928,47,3510,10,3510
0,1222,272992,23,272992,35,3499,13,3499
0,1548,206989,40,206989,60,3464,10,3464
0,607,118841,16,118841,47,3536,8,3536
0,1036,146383,10,146383,64,3523,10,3523
0,432,85692,9,85692,44,3582,15,3582
0,439,56817,19,56817,69,3516,17,3516
0,1084,157055,16,157055,66,3542,12,3542
0,763,110240,30,110240,57,3560,13,3560
0,377,59129,7,59129,42,3614,16,3614
0,436,86644,44,86644,42,3634,11,3634
0,435,58045,7,58045,54,3621,15,3621
0,1556,248245,26,248245,58,3482,8,3482
0,656,127590,22,127590,47,3554,9,3554
0,1369,160788,20,160788,58,3568,15,3568
0,628,116568,18,116568,43,3525,14,3525
0,387,48573,13,48573,53,3614,11,3614
0,793,147186,23,147186,56,3536,11,3536
0,707,118930,12,118930,44,3597,10,3597
0,445,58535,8,58535,61,3575,9,3575
0,215,37801,8,37801,48,3550,12,3550
0,623,128746,21,128746,37,3547,6,3547
0,756,107548,24,107548,62,3462,12,3462
0,419,59207,11,59207,44,3444,11,3444
0,1070,159897,22,159897,55,3561,13,3561
0,1401,200164,22,200164,48,3597,17,3597
0,4303,695603,29,695603,58,3528,11,3528
0,2958,435098,47,435098,58,3613,10,3613
0,769,100444,6,100444,64,3580,7,3580
0,948,119653,20,119653,54,3624,17,3624
0,2979,387025,55,387025,57,3647,10,3647
0,596,102462,12,102462,38,3509,13,3509
