SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
475,146687,43,146687,3,831,10,831,600,149
152,78290,33,78290,4,816,3,816,604,143
426,163890,79,163890,3,803,3,803,601,145
80,46584,7,46584,3,765,3,765,602,131
72,34371,13,34371,2,772,5,772,602,144
612,280854,132,280854,7,815,5,815,605,166
121,60134,15,60134,2,882,7,882,605,151
69,55499,28,55499,3,852,9,852,604,148
54,48574,26,48574,2,799,4,799,603,164
157,81199,32,81199,2,797,4,797,602,152
175,85300,21,85300,1,823,5,823,600,142
79,44624,25,44624,5,801,7,801,604,155
72,41725,26,41725,5,771,9,771,602,174
142,91830,32,91830,1,813,2,813,602,142
79,50072,21,50072,6,796,5,796,604,155
208,145176,64,145176,4,786,6,786,604,146
64,25523,16,25523,5,773,10,773,604,161
284,143622,39,143622,4,797,6,797,601,144
118,52612,29,52612,3,772,4,772,601,158
73,43066,25,43066,1,807,8,807,603,153
130,60975,23,60975,6,803,5,803,605,146
99,60430,25,60430,4,737,1,737,602,151
90,49712,21,49712,4,842,5,842,603,165
199,96097,38,96097,9,826,8,826,602,152
155,80084,51,80084,2,785,10,785,602,158
324,151734,63,151734,3,797,6,797,600,157
101,107133,28,107133,1,754,1,754,600,141
214,129978,74,129978,4,797,6,797,602,150
52,34701,8,34701,3,787,10,787,605,167
149,141676,44,141676,5,782,3,782,601,152
747,514969,173,514969,3,846,6,846,601,169
145,69865,17,69865,4,775,8,775,600,145
259,164064,49,164064,2,782,7,782,600,145
66,42099,15,42099,4,753,2,753,600,146
135,74838,36,74838,8,822,7,822,600,158
220,134598,68,134598,4,787,5,787,602,151
184,87151,24,87151,3,827,7,827,604,155
189,95210,62,95210,5,798,13,798,600,163
214,92646,21,92646,5,811,6,811,604,143
55,39882,9,39882,2,803,6,803,601,150
246,152941,59,152941,5,821,3,821,603,146
172,63505,37,63505,6,820,4,820,604,143
231,96045,30,96045,1,837,11,837,603,157
94,39885,7,39885,8,880,8,880,601,152
47,32060,19,32060,8,823,8,823,603,166
71,42698,19,42698,5,854,6,854,600,164
91,52309,18,52309,4,829,8,829,600,156
106,112578,24,112578,2,847,6,847,603,147
290,155078,57,155078,8,810,5,810,602,144
178,89498,23,89498,2,831,9,831,601,143
157,103344,57,103344,3,806,8,806,602,144
364,173530,69,173530,4,820,6,820,602,156
58,34322,10,34322,3,778,6,778,601,147
124,58194,28,58194,4,827,6,827,600,152
416,196865,73,196865,6,835,5,835,602,154
206,84216,66,84216,4,828,13,828,601,159
102,69000,18,69000,2,809,8,809,605,149
245,141371,87,141371,3,846,8,846,604,175
93,70949,28,70949,4,800,5,800,600,171
143,66795,29,66795,7,857,6,857,602,156
62,41451,20,41451,7,845,6,845,600,155
314,172665,81,172665,2,784,2,784,603,142
72,33586,23,33586,2,826,5,826,602,141
203,145519,52,145519,6,787,1,787,601,134
139,71872,17,71872,4,838,4,838,600,162
524,194412,58,194412,5,835,9,835,601,164
311,178183,81,178183,3,844,10,844,602,147
134,76387,35,76387,2,821,7,821,603,154
146,79901,30,79901,3,859,5,859,604,137
177,99201,58,99201,5,796,4,796,600,147
110,58596,20,58596,7,817,1,817,601,138
173,107050,24,107050,4,739,3,739,604,158
165,84373,33,84373,4,815,5,815,602,151
110,79936,51,79936,3,794,4,794,603,149
976,437969,160,437969,3,761,3,761,602,151
586,392599,185,392599,5,721,4,721,603,155
306,205204,82,205204,4,887,7,887,602,158
159,98777,38,98777,3,811,4,811,600,153
100,53465,16,53465,9,800,6,800,600,148
205,110771,55,110771,7,831,5,831,602,153
245,115490,55,115490,5,833,6,833,604,147
113,58585,10,58585,7,775,7,775,602,142
165,74970,36,74970,6,835,7,835,602,156
123,72957,35,72957,2,811,9,811,600,159
250,156096,57,156096,5,828,2,828,605,136
106,65940,31,65940,3,878,7,878,603,148
134,73513,11,73513,7,831,5,831,603,153
58,32171,13,32171,5,810,7,810,605,146
55,30906,8,30906,6,848,3,848,605,135
235,136158,52,136158,3,800,6,800,604,156
148,81054,49,81054,4,790,5,790,603,155
206,111990,38,111990,6,823,5,823,603,159
85,57353,24,57353,4,825,5,825,600,153
114,94249,66,94249,1,792,5,792,603,150
100,50070,20,50070,5,802,7,802,601,164
714,429908,106,429908,5,786,8,786,604,149
363,169135,83,169135,6,790,3,790,603,144
169,85271,28,85271,5,791,5,791,600,143
105,49386,21,49386,6,848,6,848,603,156
