SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
296,75270,9,75270,4,772,1,772
185,61636,10,61636,6,789,5,789
1010,226529,40,226529,8,842,3,842
442,160365,26,160365,6,790,5,790
217,52328,11,52328,8,805,2,805
241,68848,10,68848,16,795,3,795
211,43492,9,43492,7,899,1,899
257,108484,22,108484,4,777,5,777
508,75916,9,75916,13,867,3,867
208,54527,12,54527,15,774,5,774
313,60341,13,60341,4,840,5,840
3276,1090195,145,1090195,11,842,3,842
288,82580,13,82580,7,814,5,814
78,47443,7,47443,6,812,4,812
224,71525,14,71525,10,812,2,812
328,80821,13,80821,9,829,3,829
407,126196,30,126196,10,858,1,858
163,55049,7,55049,8,834,5,834
627,172425,33,172425,10,806,4,806
241,46536,7,46536,13,821,0,821
115,66717,11,66717,8,796,4,796
373,139689,17,139689,3,807,7,807
128,63246,10,63246,5,812,1,812
773,144387,18,144387,10,823,3,823
199,63943,14,63943,8,842,6,842
166,41974,8,41974,6,787,7,787
268,60547,10,60547,10,803,3,803
890,162643,27,162643,10,786,2,786
221,69245,19,69245,11,835,7,835
430,85525,12,85525,14,843,4,843
429,63242,4,63242,9,831,3,831
128,42867,6,42867,6,832,3,832
287,72167,8,72167,8,793,3,793
473,147998,28,147998,9,868,5,868
2284,730372,135,730372,6,770,3,770
168,53320,9,53320,9,801,3,801
842,178217,13,178217,14,838,3,838
464,105760,26,105760,5,825,4,825
446,113612,13,113612,10,818,2,818
534,146358,21,146358,4,771,4,771
170,44199,8,44199,8,800,4,800
526,101214,12,101214,8,766,2,766
301,96118,20,96118,7,798,2,798
327,70282,4,70282,7,842,1,842
454,108162,16,108162,4,827,4,827
197,72215,12,72215,6,814,8,814
743,150573,13,150573,7,810,2,810
259,74585,15,74585,10,816,2,816
506,84757,11,84757,14,815,5,815
209,57354,7,57354,14,816,2,816
446,138006,15,138006,7,797,1,797
