ID1,ID2,Distance
N6259|4946|0.188469,N6260|5412|0.695221,0.0139517
N6259|4946|0.188469,N6258|5086|0.288175,0.00407284
N6051|7580|0.554933,N6050|9505|0.326991,0.00734239
N6127|2712|0.211915,N6129|10935|0.885368,0.0139589
N6101|2826|0.529901,N6100|12441|0.211066,0.00652612
N6101|2826|0.529901,N6102|7949|0.009573,0.00982202
N6076|12393|0.322749,N6074|6723|0.305168,0.0122862
N6076|12393|0.322749,N6081|9844|0.14352,0.0131033
N6020|2134|0.919634,N6021|3857|0.180465,0.0114478
N6020|2134|0.919634,N6022|14671|0.380983,0.013118
N6363|5387|0.324139,N6364|9415|0.080738,0.00983733
N6105|5645|0.15035,N6106|13797|0.229521,0.0139606
N6485|12189|0.432412,N6482|15001|0.887039,0.00980747
N6485|12189|0.432412,N6484|9889|0.588928,0.00979741
N6485|12189|0.432412,N6483|14687|0.522008,0.0106213
N5985|5600|0.387295,N5986|5025|0.487324,0.011448
N6043|10980|0.028625,N6044|6516|0.161951,0.0123295
N6043|10980|0.028625,N6045|7766|0.521148,0.00898504
N6043|10980|0.028625,N6046|12288|0.563669,0.0114532
N6341|10381|0.334776,N6339|2086|0.669586,0.00734068
N6341|10381|0.334776,N6338|3978|0.289634,0.0147569
N5969|11258|0.439304,N5970|2144|0.085774,0.0140103
N6643|14334|0.448626,N6642|6562|0.762199,0.00984054
N6625|9346|0.945986,N6624|3759|0.241803,0.00325602
N6625|9346|0.945986,N6628|13324|0.04739,0.0148487
N6625|9346|0.945986,N6627|11983|0.093528,0.014816
N6358|5772|0.655982,N6360|4381|0.309597,0.00899528
N6594|4923|0.203833,N6596|13731|0.847566,0.0147809
N6594|4923|0.203833,N6595|14972|0.575216,0.012296
N6434|6691|0.052671,N6432|4676|0.993783,0.00815275
N6434|6691|0.052671,N6433|8927|0.713637,0.00897659
N6510|13908|0.121565,N6513|8374|0.092469,0.0114757
N6510|13908|0.121565,N6514|9647|0.096761,0.0123277
N6510|13908|0.121565,N6512|10252|0.423661,0.00980116
N6513|8374|0.092469,N6514|9647|0.096761,0.00734887
N6513|8374|0.092469,N6512|10252|0.423661,0.0131321
N6618|14818|0.259717,N6620|9252|0.250987,0.0106567
N6618|14818|0.259717,N6619|11782|0.80171,0.0114554
N6337|13288|0.854101,N6336|11822|0.36511,0.00817701
N6497|9245|0.516214,N6498|14215|0.398654,0
N6610|9122|0.323358,N6611|9071|0.545514,0.0114649
N6490|9147|0.105781,N6489|9494|0.268281,0.00652445
N6490|9147|0.105781,N6488|6998|0.293645,0.0147786
N6224|11519|0.771384,N6229|15091|0.339685,0.0147935
N6313|10312|0.074641,N6312|10471|0.308118,0.0048829
N6003|4541|0.913437,N6000|14597|0.365671,0.0147735
N6082|12046|0.966679,N6083|9516|0.738197,0.00899331
N6406|3003|0.186074,N6407|14462|0.0944,0.0089977
N6453|1868|0.976762,N6452|8055|0.209923,0.00243747
N6021|3857|0.180465,N6022|14671|0.380983,0.00982386
N6021|3857|0.180465,N6028|3396|0.589116,0.0147876
N6021|3857|0.180465,N6026|3928|0.669366,0.0147643
N6021|3857|0.180465,N6027|13750|0.722383,0.0131181
N6021|3857|0.180465,N6019|12435|0.82675,0.013955
N6021|3857|0.180465,N6023|9790|0.054107,0.0131193
N6109|6962|0.876109,N6110|14587|0.059583,0.013962
N6514|9647|0.096761,N6512|10252|0.423661,0.0139887
N5974|14077|0.295706,N5972|9412|0.45721,0.014033
N5974|14077|0.295706,N5977|8095|0.497633,0.00898517
N6078|4514|0.041235,N6072|5690|0.984639,0.0106561
N6078|4514|0.041235,N6073|10426|0.976627,0.00898524
N6078|4514|0.041235,N6075|10079|0.635136,0.010636
N6078|4514|0.041235,N6080|14345|0.609041,0.00898236
N6078|4514|0.041235,N6079|15117|0.430924,0.0106212
N6078|4514|0.041235,N6077|3106|0.667534,0.00981356
N6078|4514|0.041235,N6076|12393|0.322749,0.00981339
N6078|4514|0.041235,N6074|6723|0.305168,0.00898902
N6078|4514|0.041235,N6081|9844|0.14352,0.00980772
N5992|10221|0.222242,N5991|2122|0.897437,0.00325223
N6409|10113|0.759157,N6408|6105|0.010762,0.00325601
N5972|9412|0.45721,N5977|8095|0.497633,0.0148111
N6533|13517|0.244803,N6532|7059|0.96732,0.00488034
N6533|13517|0.244803,N6535|11503|0.725335,0.0106321
N6533|13517|0.244803,N6540|6982|0.981805,0.0106322
N6672|7287|0.450802,N6666|9473|0.38645,0.0106212
N6541|11600|0.568476,N6542|3353|5.55E-4,0.00898398
N6072|5690|0.984639,N6073|10426|0.976627,0.00652711
N6072|5690|0.984639,N6075|10079|0.635136,0.0148118
N6072|5690|0.984639,N6080|14345|0.609041,0.011495
N6072|5690|0.984639,N6079|15117|0.430924,0.0148193
N6072|5690|0.984639,N6077|3106|0.667534,0.0140133
N6072|5690|0.984639,N6076|12393|0.322749,0.0139708
N6459|10514|0.183348,N6458|11904|0.303516,0.0115127
N6072|5690|0.984639,N6074|6723|0.305168,0.0065245
N6072|5690|0.984639,N6081|9844|0.14352,0.0123121
N6555|3261|0.883164,N6556|4591|0.057752,0.0114479
N6626|5392|0.82725,N6627|11983|0.093528,0.00980396
N6542|3353|5.55E-4,N6540|6982|0.981805,0.0147736
N6450|13439|0.182994,N6449|10361|0.544538,0.0148146
N6629|10224|0.712785,N6628|13324|0.04739,0.0147833
N6629|10224|0.712785,N6627|11983|0.093528,0.0147967
N6296|3072|0.607553,N6295|7078|0.310024,0.00816755
N6296|3072|0.607553,N6294|8924|0.906633,0.0106563
N6627|11983|0.093528,N6631|1377|0.419431,0.0122815
N6422|14445|0.981778,N6421|5841|0.490268,0.00816444
N6422|14445|0.981778,N6420|9256|0.817071,0.0114628
N6440|12760|0.274895,N6439|6750|0.644602,0.00407428
N6440|12760|0.274895,N6438|15205|0.133763,0.0016256
N6422|14445|0.981778,N6419|13560|0.053997,0.0122977
N6286|9487|0.94802,N6285|10074|0.066745,0.0008116
N6339|2086|0.669586,N6338|3978|0.289634,0.0139305
N6116|5930|0.042954,N6117|4883|0.202556,0.0114602
N6022|14671|0.380983,N6027|13750|0.722383,0.0148419
N6167|12447|0.923725,N6173|6221|0.507911,0.014768
N6022|14671|0.380983,N6023|9790|0.054107,0.014836
N6432|4676|0.993783,N6433|8927|0.713637,0.00897657
N6028|3396|0.589116,N6023|9790|0.054107,0.0147657
N6013|12518|0.60059,N6015|9144|0.387076,0.00734107
N6570|5787|0.342171,N6571|13944|0.832761,0.00162561
N6166|8861|0.68444,N6163|9426|0.897203,0.00733094
N6166|8861|0.68444,N6165|8150|0.742241,0.00899459
N6166|8861|0.68444,N6164|5936|0.911336,0.00733129
N6166|8861|0.68444,N6167|12447|0.923725,0.00816554
N6074|6723|0.305168,N6081|9844|0.14352,0.0106323
N6166|8861|0.68444,N6173|6221|0.507911,0.0130922
N6271|4113|0.8351,N6270|15354|0.734495,0.00325225
N6006|9787|0.898607,N6005|11288|0.498686,0.00734895
N6486|1437|0.726624,N6485|12189|0.432412,0.00653121
N6486|1437|0.726624,N6482|15001|0.887039,0.0131205
N6486|1437|0.726624,N6484|9889|0.588928,0.0131113
N6486|1437|0.726624,N6483|14687|0.522008,0.0114544
N6634|5843|0.963676,N6636|10592|0.821225,0.0122838
N6573|2083|0.346622,N6572|13596|0.301842,0.00897803
N6493|8432|0.515299,N6492|11033|0.231704,0.00734759
N6493|8432|0.515299,N6495|2423|0.283536,0.0147572
N6532|7059|0.96732,N6535|11503|0.725335,0.0106404
N6532|7059|0.96732,N6540|6982|0.981805,0.0106405
N6036|9166|0.65839,N6032|6511|0.496515,0.0106319
N6465|8074|0.850123,N6466|6813|0.140707,0.00900619
N6303|10008|0.465943,N6304|13679|0.400511,0
N6562|12322|0.94535,N6561|14997|0.589282,0.00488009
N6092|7432|0.317701,N6093|11457|0.679492,0.00982195
N6084|9097|0.117361,N6085|5420|0.296224,0.00898518
N6535|11503|0.725335,N6540|6982|0.981805,0.013119
N6084|9097|0.117361,N6086|8122|0.190314,0.0139542
N6084|9097|0.117361,N6087|15244|0.536944,0.0139542
N6606|4363|0.90872,N6609|7444|0.173608,0.00734105
N6606|4363|0.90872,N6607|10658|0.254441,0.00816587
N5984|6252|0.053244,N5986|5025|0.487324,0.00982673
N5984|6252|0.053244,N5987|3091|0.711108,0.0131297
N6477|13322|0.802411,N6476|12281|0.106144,0.0122907
N6633|6990|0.715048,N6631|1377|0.419431,0.0131371
N6340|4149|0.003673,N6341|10381|0.334776,0.00733743
N6340|4149|0.003673,N6339|2086|0.669586,0.00162343
N6306|6719|0.911153,N6309|3049|0.424972,0.0106239
N6306|6719|0.911153,N6310|2032|0.640878,0.0130967
N6340|4149|0.003673,N6338|3978|0.289634,0.0139262
N6306|6719|0.911153,N6307|3650|0.071054,0.00733497
N6279|14580|0.181418,N6278|14250|0.56049,0.00488034
N6279|14580|0.181418,N6277|3369|0.583968,0.00981246
N6545|14872|0.69626,N6540|6982|0.981805,0.0147833
N6125|11997|0.071152,N6122|5299|0.644475,0.0147734
N6399|13997|0.490339,N6401|1781|0.713254,0.0147809
N6399|13997|0.490339,N6400|14225|0.845489,0.0139502
N6620|9252|0.250987,N6619|11782|0.80171,0.00734906
N6217|8798|0.989348,N6216|6366|0.111726,0.00898879
N6260|5412|0.695221,N6258|5086|0.288175,0.0131202
N6482|15001|0.887039,N6484|9889|0.588928,0.013119
N6482|15001|0.887039,N6483|14687|0.522008,0.0139518
N6055|5143|0.739599,N6054|5601|0.113337,0.00488431
N5986|5025|0.487324,N5987|3091|0.711108,0.00816445
N6147|4646|0.530118,N6146|14201|0.526148,0.00325072
N6055|5143|0.739599,N6056|6338|0.362045,0.0131029
N6378|14354|0.517929,N6377|11293|0.310601,0.012261
N6378|14354|0.517929,N6376|11414|0.041629,0.00980389
N6314|7454|0.829291,N6316|11302|0.077511,0.0106785
N6455|12125|0.588324,N6456|4428|0.963305,0.0131181
N6040|13960|0.389849,N6039|9194|0.986153,0.0122886
N6518|5549|0.036003,N6517|3721|0.377852,0.00162342
N6187|14941|0.832138,N6188|11568|0.373606,0.00982509
N6187|14941|0.832138,N6185|6897|0.782982,0.0131426
N6609|7444|0.173608,N6607|10658|0.254441,0.00734105
N6558|14236|0.300303,N6560|5598|0.329499,0.0147936
N6484|9889|0.588928,N6483|14687|0.522008,0.0139334
N6227|1683|0.183381,N6226|11093|0.263854,0.00570237
N6227|1683|0.183381,N6228|14736|0.763051,0.0065445
N6227|1683|0.183381,N6225|14916|0.121837,0.0131279
N6227|1683|0.183381,N6224|11519|0.771384,0.0122983
N6502|12323|0.462093,N6505|5426|0.547074,0.0147643
N6439|6750|0.644602,N6438|15205|0.133763,0.00243767
N6324|2079|0.336717,N6323|2154|0.178385,0.0122877
N6375|7540|0.669646,N6372|5597|0.834034,0.0147649
N6309|3049|0.424972,N6310|2032|0.640878,0.0106211
N6309|3049|0.424972,N6307|3650|0.071054,0.00570133
N6416|3563|0.005773,N6417|15333|0.639151,0.0114912
N6310|2032|0.640878,N6307|3650|0.071054,0.00815492
N6416|3563|0.005773,N6415|11094|0.250592,0.013148
N6592|7636|0.082897,N6593|12878|0.849203,0.00653621
N6592|7636|0.082897,N6590|13946|0.641766,0.0147798
N6377|11293|0.310601,N6376|11414|0.041629,0.0089767
N6188|11568|0.373606,N6185|6897|0.782982,0.0147947
N6290|4621|0.552195,N6289|13021|0.693049,0.000811595
N6184|11869|0.688393,N6185|6897|0.782982,0.00900601
N6431|3182|0.983482,N6430|10368|0.325412,0.000811845
N6591|13334|0.109425,N6590|13946|0.641766,0.0147659
N6026|3928|0.669366,N6025|7943|0.405826,0.0114608
N6574|2927|0.498987,N6578|15212|0.126398,0.0122613
N6574|2927|0.498987,N6577|8737|0.634292,0.0081658
N6574|2927|0.498987,N6579|14229|0.047522,0.0122604
N6237|15081|0.174975,N6236|8632|0.377515,0.00162304
N6237|15081|0.174975,N6238|10286|0.219513,0.0114564
N6237|15081|0.174975,N6239|7614|0.275601,0.0123009
N6245|6392|0.531035,N6246|5957|0.46545,0.0122743
N6245|6392|0.531035,N6253|11644|0.788246,0.0147783
N6245|6392|0.531035,N6244|3651|0.221066,0.00652289
N6367|9895|0.828313,N6366|1606|0.671705,0.00899368
N6367|9895|0.828313,N6368|4486|0.112795,0.0139552
N6269|5051|0.753493,N6268|11972|0.414225,0.0147513
N6568|13760|0.307766,N6569|14849|0.832766,0.00325115
N6124|11890|0.166849,N6123|3694|0.754778,0.0106457
N6124|11890|0.166849,N6125|11997|0.071152,0.0139341
N6403|8119|0.552737,N6402|6541|0.713776,0.0131741
N6491|3794|0.262646,N6490|9147|0.105781,0.0147778
N6112|14239|0.472549,N6113|14520|0.451003,0.0139457
N6635|13751|0.108105,N6634|5843|0.963676,0.0106429
N6635|13751|0.108105,N6636|10592|0.821225,0.00488679
N6503|2039|0.033156,N6501|11040|0.058027,0.0106272
N6503|2039|0.033156,N6502|12323|0.462093,0.00816008
N5976|13785|0.623669,N5979|8137|0.226847,0.0131041
N5976|13785|0.623669,N5974|14077|0.295706,0.0131076
N5976|13785|0.623669,N5977|8095|0.497633,0.00569962
N6163|9426|0.897203,N6165|8150|0.742241,0.00983009
N6163|9426|0.897203,N6164|5936|0.911336,0.00488675
N6163|9426|0.897203,N6167|12447|0.923725,0.00899474
N6163|9426|0.897203,N6173|6221|0.507911,0.0139149
N6278|14250|0.56049,N6277|3369|0.583968,0.00979616
