param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of HIV+ RDS Seeds,110,social->transmission,0.006981094466706318,0.002990087175945641,5.652,2.4105800131918462
Number of HIV+ RDS Seeds,120,social->transmission,0.0068603712330630685,0.003017085807749159,5.552,2.4477124014066685
Number of HIV+ RDS Seeds,130,social->transmission,0.007164136832518326,0.002956138437746578,5.812,2.410115349936596
Number of HIV+ RDS Seeds,140,social->transmission,0.007290103782234395,0.0028116128357487218,5.916,2.3214099164085606
Number of HIV+ RDS Seeds,150,social->transmission,0.007106757689988477,0.0028700862977572256,5.768,2.3685810098031266
Number of HIV+ RDS Seeds,200,social->transmission,0.007587680093738421,0.0032153914679927415,6.136,2.585634158190211
Number of HIV+ RDS Seeds,300,social->transmission,0.007626765681415387,0.0028479664924897646,6.18,2.322843085531177
Number of HIV+ RDS Seeds,400,social->transmission,0.008036453095088075,0.0031714862207322643,6.504,2.564758078260014
Number of HIV+ RDS Seeds,500,social->transmission,0.008317389498003246,0.0033714303983997983,6.736,2.7280586503959183
Number of HIV+ RDS Seeds,600,social->transmission,0.008107220147277825,0.0033045381860875387,6.564,2.6679400293110036
