ID1,ID2,Distance
N7891|15234|7.662931,N7889|2448|1.190687,0.00726447
N7891|15234|7.662931,N7893|4581|0.722592,0.00970544
N7891|15234|7.662931,N7887|11836|1.723962,0.0137832
N9332|13738|1.217586,N9331|8444|4.237711,0.00725472
N9332|13738|1.217586,N9330|13296|2.613195,0.0080608
N11472|10172|1.398357,N11454|4089|2.914674,0.0129411
N11472|10172|1.398357,N11464|9330|2.961824,0.0129695
N11472|10172|1.398357,N11452|4801|2.943643,0.0137658
N11472|10172|1.398357,N11458|11791|0.832922,0.0137692
N11472|10172|1.398357,N11453|4736|1.544933,0.0113095
N11472|10172|1.398357,N11467|13118|2.847321,0.012985
N9394|13087|0.328775,N9393|6670|0.036618,0.00482934
N11472|10172|1.398357,N11471|4519|3.815177,0.00644379
N11472|10172|1.398357,N11460|4884|0.973873,0.0129483
N11472|10172|1.398357,N11470|8636|2.136152,0.0121302
N11472|10172|1.398357,N11466|10729|0.258991,0.0105117
N9394|13087|0.328775,N9395|8210|0.078373,0.0146101
N9394|13087|0.328775,N9391|11113|0.246586,0.0105126
N9394|13087|0.328775,N9390|14984|0.188386,0.0121513
N7231|12614|0.998251,N7233|12897|1.403688,0.0121625
N7231|12614|0.998251,N7232|14737|0.674629,0.00322076
N7231|12614|0.998251,N7241|3212|1.304002,0.0113258
N7231|12614|0.998251,N7236|1913|1.088392,0.0105121
N11493|8085|0.200337,N11492|7849|2.734109,0.00321562
N7231|12614|0.998251,N7246|14693|0.115621,0.0129694
N7231|12614|0.998251,N7240|4814|3.475007,0.0146013
N7231|12614|0.998251,N7235|7312|1.891286,0.0113336
N7231|12614|0.998251,N7230|2415|2.453698,0.00726688
N9828|12365|1.498044,N9831|8033|1.560369,0.013791
N9828|12365|1.498044,N9833|12029|0.490082,0.0105155
N9828|12365|1.498044,N9827|14122|0.608654,0.00402375
N7231|12614|0.998251,N7238|10698|0.238619,0.0129847
N12461|5295|1.005843,N12430|7763|0.706949,0.0122147
N12461|5295|1.005843,N12457|13084|0.1507,0.012958
