,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,840,168942,11,168942,31,3553,8,3553
0,505,89471,8,89471,48,3570,16,3570
0,735,91536,7,91536,61,3482,9,3482
0,229,38904,6,38904,46,3539,14,3539
0,1087,118352,20,118352,57,3576,9,3576
0,414,63421,10,63421,64,3534,11,3534
0,851,87604,9,87604,70,3522,12,3522
0,1093,146844,15,146844,68,3546,12,3546
0,469,71713,5,71713,66,3539,8,3539
0,2905,392778,36,392778,52,3592,16,3592
0,1604,213900,27,213900,62,3523,9,3523
0,476,67889,9,67889,55,3593,12,3593
0,580,93305,11,93305,55,3629,8,3629
0,1564,244172,16,244172,47,3540,16,3540
0,692,112918,14,112918,50,3567,4,3567
0,311,76233,9,76233,43,3587,14,3587
0,425,72196,8,72196,46,3631,8,3631
0,869,113831,13,113831,71,3609,10,3609
0,199,39095,5,39095,34,3538,14,3538
0,1492,286865,85,286865,45,3522,14,3522
0,972,129263,13,129263,72,3544,7,3544
0,2883,513133,30,513133,44,3568,8,3568
0,811,145931,37,145931,64,3581,11,3581
0,732,87341,13,87341,51,3591,16,3591
0,786,118976,26,118976,55,3538,12,3538
0,1370,177873,7,177873,46,3573,11,3573
0,709,130721,14,130721,46,3528,11,3528
0,691,116832,18,116832,37,3604,11,3604
0,2402,327967,36,327967,78,3525,11,3525
0,1978,310655,34,310655,50,3485,22,3485
0,662,95375,16,95375,55,3648,9,3648
0,5843,902181,66,902181,51,3637,13,3637
0,1025,133291,17,133291,69,3546,13,3546
0,916,142728,14,142728,50,3667,15,3667
0,338,40870,9,40870,70,3646,6,3646
0,365,51983,8,51983,49,3679,12,3679
0,384,50182,8,50182,53,3597,14,3597
0,555,68291,25,68291,65,3506,25,3506
0,349,53719,11,53719,63,3516,20,3516
0,1069,128180,34,128180,75,3641,16,3641
0,318,54727,8,54727,47,3626,13,3626
0,379,77669,19,77669,45,3555,10,3555
0,870,102371,8,102371,65,3623,19,3623
0,310,69067,6,69067,45,3565,8,3565
0,975,232547,23,232547,29,3554,13,3554
0,412,60919,10,60919,38,3554,15,3554
0,527,78211,15,78211,46,3633,24,3633
0,621,105228,10,105228,54,3604,9,3604
0,427,75488,6,75488,35,3591,18,3591
0,645,91962,16,91962,77,3637,9,3637
0,558,89418,10,89418,46,3576,15,3576
0,313,92227,21,92227,41,3572,18,3572
0,1178,121142,21,121142,62,3551,10,3551
0,850,97836,14,97836,56,3542,17,3542
0,861,181598,15,181598,20,3523,15,3523
0,226,39186,5,39186,56,3520,10,3520
0,760,112072,11,112072,62,3551,11,3551
0,391,72685,11,72685,48,3548,12,3548
0,361,82676,7,82676,34,3593,14,3593
0,422,93457,17,93457,32,3550,6,3550
0,712,112387,22,112387,47,3495,13,3495
0,1212,215227,41,215227,52,3553,16,3553
0,355,42354,10,42354,64,3724,18,3724
0,746,92353,12,92353,55,3634,13,3634
0,480,64503,21,64503,49,3601,8,3601
0,901,90778,9,90778,64,3582,12,3582
0,1562,270097,35,270097,69,3577,5,3577
0,347,82779,10,82779,45,3508,10,3508
0,557,71944,20,71944,61,3595,19,3595
0,762,129827,25,129827,46,3563,12,3563
0,857,110960,17,110960,54,3529,13,3529
0,919,150096,22,150096,60,3577,17,3577
0,1366,162819,9,162819,58,3573,11,3573
0,2038,260570,18,260570,71,3425,7,3425
0,256,49357,10,49357,39,3473,12,3473
0,1190,180210,26,180210,51,3597,9,3597
0,210,59381,9,59381,44,3551,9,3551
0,156,31747,9,31747,45,3420,17,3420
0,342,47861,8,47861,49,3518,10,3518
0,804,162468,14,162468,47,3643,9,3643
0,370,55326,16,55326,43,3555,13,3555
0,1219,176785,21,176785,54,3602,16,3602
0,727,118066,9,118066,52,3570,9,3570
0,590,130398,18,130398,37,3557,13,3557
0,532,118089,24,118089,44,3478,14,3478
0,981,171195,26,171195,36,3577,24,3577
0,938,118647,13,118647,56,3660,13,3660
0,645,91897,22,91897,60,3549,15,3549
0,609,92230,15,92230,50,3602,15,3602
0,231,40953,7,40953,40,3648,14,3648
0,309,56223,8,56223,49,3469,10,3469
0,898,186728,22,186728,48,3560,16,3560
0,393,59354,8,59354,43,3439,10,3439
0,1292,247636,26,247636,48,3576,11,3576
0,975,115930,13,115930,68,3568,5,3568
0,947,139188,11,139188,53,3502,8,3502
0,587,82453,11,82453,58,3539,11,3539
0,753,121288,22,121288,44,3560,13,3560
0,812,142341,18,142341,51,3497,18,3497
0,1151,145716,26,145716,71,3588,23,3588
