SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
346,63505,15,63505,3,820,3,820,953,95
451,96045,12,96045,12,837,6,837,952,103
207,39885,7,39885,7,880,3,880,950,88
147,32060,4,32060,15,823,2,823,953,73
207,42698,10,42698,15,854,6,854,952,96
278,52309,5,52309,10,829,3,829,950,88
448,112578,37,112578,9,847,6,847,953,96
657,155078,30,155078,12,810,4,810,954,92
481,89498,19,89498,12,831,4,831,954,93
385,103344,15,103344,13,806,2,806,953,101
746,173530,16,173530,8,820,3,820,951,82
131,34322,6,34322,10,778,3,778,953,93
256,58194,11,58194,13,827,4,827,950,100
991,196865,26,196865,6,835,3,835,955,85
381,84216,11,84216,6,828,2,828,955,98
387,69000,8,69000,14,809,5,809,950,88
558,141371,29,141371,12,846,4,846,952,95
355,70949,12,70949,8,800,0,800,952,88
273,66795,5,66795,9,857,5,857,951,98
178,41451,5,41451,14,845,1,845,950,93
689,172665,16,172665,14,784,5,784,951,112
182,33586,0,33586,8,826,3,826,955,90
818,145519,25,145519,9,787,3,787,955,105
454,71872,5,71872,13,838,1,838,950,91
869,194412,36,194412,12,835,4,835,955,86
709,178183,16,178183,8,844,1,844,955,97
344,76387,12,76387,16,821,3,821,954,96
336,79901,7,79901,8,859,6,859,952,87
393,99201,12,99201,4,796,4,796,951,87
237,58596,10,58596,15,817,1,817,953,91
380,107050,26,107050,8,739,3,739,955,91
308,84373,6,84373,5,815,3,815,950,90
298,79936,17,79936,11,794,4,794,951,104
2360,437969,85,437969,7,761,0,761,951,88
1308,392599,69,392599,4,721,3,721,955,98
897,205204,24,205204,10,887,4,887,954,99
539,98777,40,98777,6,811,5,811,951,92
217,53465,6,53465,8,800,0,800,953,93
526,110771,43,110771,9,831,5,831,954,100
623,115490,10,115490,10,833,2,833,952,77
214,58585,6,58585,11,775,4,775,954,103
341,74970,12,74970,12,835,5,835,954,99
320,72957,27,72957,10,811,4,811,950,97
694,156096,30,156096,14,828,3,828,951,103
288,65940,16,65940,21,878,3,878,954,88
335,73513,7,73513,8,831,4,831,955,89
143,32171,2,32171,9,810,3,810,951,86
159,30906,5,30906,9,848,4,848,950,95
576,136158,24,136158,13,800,2,800,950,91
365,81054,13,81054,7,790,2,790,951,95
445,111990,15,111990,6,823,1,823,955,89
340,57353,7,57353,7,825,5,825,953,101
441,94249,19,94249,16,792,5,792,952,103
265,50070,7,50070,6,802,3,802,950,90
1927,429908,70,429908,9,786,3,786,953,92
830,169135,19,169135,11,790,3,790,953,92
416,85271,17,85271,15,791,2,791,951,95
219,49386,4,49386,7,848,4,848,953,89
