,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,1244,168942,17,168942,46,3553,14,3553
0,554,89471,14,89471,60,3570,14,3570
0,644,91536,10,91536,62,3482,13,3482
0,216,38904,2,38904,41,3539,6,3539
0,751,118352,20,118352,50,3576,17,3576
0,327,63421,11,63421,37,3534,14,3534
0,555,87604,18,87604,46,3522,12,3522
0,873,146844,23,146844,52,3546,11,3546
0,304,71713,27,71713,48,3539,13,3539
0,1484,392778,30,392778,45,3592,8,3592
0,1887,213900,32,213900,58,3523,10,3523
0,442,67889,10,67889,51,3593,10,3593
0,781,93305,12,93305,59,3629,16,3629
0,1324,244172,18,244172,58,3540,8,3540
0,672,112918,23,112918,35,3567,6,3567
0,363,76233,8,76233,35,3587,19,3587
0,342,72196,10,72196,50,3631,11,3631
0,537,113831,21,113831,37,3609,7,3609
0,195,39095,13,39095,48,3538,14,3538
0,1782,286865,25,286865,64,3522,10,3522
0,854,129263,16,129263,54,3544,16,3544
0,3487,513133,84,513133,52,3568,17,3568
0,827,145931,14,145931,42,3581,7,3581
0,707,87341,16,87341,74,3591,13,3591
0,471,118976,12,118976,34,3538,21,3538
0,1293,177873,21,177873,45,3573,10,3573
0,717,130721,8,130721,42,3528,6,3528
0,707,116832,11,116832,60,3604,9,3604
0,2870,327967,32,327967,70,3525,10,3525
0,1385,310655,42,310655,42,3485,13,3485
0,457,95375,9,95375,39,3648,14,3648
0,4997,902181,95,902181,51,3637,14,3637
0,793,133291,10,133291,56,3546,12,3546
0,969,142728,15,142728,55,3667,10,3667
0,250,40870,7,40870,47,3646,15,3646
0,393,51983,13,51983,51,3679,19,3679
0,257,50182,22,50182,35,3597,14,3597
0,374,68291,6,68291,43,3506,8,3506
0,276,53719,7,53719,41,3516,15,3516
0,941,128180,18,128180,49,3641,15,3641
0,318,54727,16,54727,47,3626,14,3626
0,429,77669,23,77669,38,3555,13,3555
0,536,102371,16,102371,43,3623,7,3623
0,452,69067,11,69067,44,3565,9,3565
0,2059,232547,37,232547,60,3554,7,3554
0,230,60919,8,60919,43,3554,6,3554
0,599,78211,14,78211,58,3633,18,3633
0,589,105228,8,105228,48,3604,12,3604
0,600,75488,15,75488,61,3591,12,3591
0,461,91962,9,91962,39,3637,11,3637
0,491,89418,9,89418,25,3576,19,3576
0,473,92227,14,92227,36,3572,16,3572
0,826,121142,16,121142,58,3551,10,3551
0,513,97836,15,97836,55,3542,9,3542
0,693,181598,12,181598,41,3523,14,3523
0,278,39186,10,39186,63,3520,14,3520
0,755,112072,6,112072,56,3551,10,3551
0,448,72685,10,72685,49,3548,15,3548
0,466,82676,7,82676,56,3593,15,3593
