,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,1024,168942,9,168942,54,3553,16,3553
0,525,89471,9,89471,58,3570,20,3570
0,522,91536,11,91536,58,3482,10,3482
0,351,38904,14,38904,53,3539,16,3539
0,710,118352,13,118352,52,3576,18,3576
0,442,63421,11,63421,44,3534,12,3534
0,520,87604,12,87604,51,3522,10,3522
0,975,146844,12,146844,62,3546,14,3546
0,408,71713,13,71713,47,3539,16,3539
0,3064,392778,24,392778,57,3592,13,3592
0,1357,213900,44,213900,54,3523,13,3523
0,631,67889,11,67889,60,3593,18,3593
0,388,93305,17,93305,43,3629,13,3629
0,1454,244172,38,244172,63,3540,13,3540
0,588,112918,12,112918,61,3567,16,3567
0,524,76233,4,76233,51,3587,6,3587
0,411,72196,9,72196,71,3631,15,3631
0,470,113831,22,113831,46,3609,13,3609
0,250,39095,9,39095,53,3538,8,3538
0,1875,286865,21,286865,41,3522,6,3522
0,714,129263,20,129263,35,3544,9,3544
0,3106,513133,91,513133,33,3568,11,3568
0,494,145931,32,145931,38,3581,18,3581
0,552,87341,10,87341,53,3591,13,3591
0,570,118976,26,118976,52,3538,19,3538
0,754,177873,35,177873,27,3573,10,3573
0,710,130721,5,130721,42,3528,9,3528
0,517,116832,19,116832,36,3604,16,3604
0,1892,327967,18,327967,50,3525,11,3525
0,1724,310655,23,310655,54,3485,12,3485
0,536,95375,19,95375,50,3648,8,3648
0,4062,902181,48,902181,42,3637,15,3637
0,817,133291,17,133291,60,3546,18,3546
0,781,142728,23,142728,46,3667,14,3667
0,245,40870,7,40870,63,3646,19,3646
0,342,51983,6,51983,36,3679,17,3679
0,249,50182,6,50182,46,3597,9,3597
0,398,68291,22,68291,50,3506,16,3506
0,461,53719,10,53719,76,3516,10,3516
0,1045,128180,11,128180,62,3641,15,3641
0,384,54727,8,54727,47,3626,9,3626
0,38,77669,9,77669,4,3555,11,3555
0,742,102371,19,102371,48,3623,16,3623
0,418,69067,9,69067,53,3565,9,3565
0,1368,232547,48,232547,39,3554,22,3554
0,697,60919,12,60919,50,3554,17,3554
0,722,78211,27,78211,66,3633,15,3633
0,708,105228,11,105228,37,3604,7,3604
0,421,75488,6,75488,47,3591,9,3591
0,637,91962,15,91962,54,3637,11,3637
0,437,89418,14,89418,40,3576,11,3576
0,540,92227,16,92227,42,3572,10,3572
0,708,121142,11,121142,41,3551,12,3551
0,657,97836,10,97836,50,3542,15,3542
0,1166,181598,8,181598,60,3523,10,3523
0,220,39186,5,39186,45,3520,13,3520
0,657,112072,15,112072,48,3551,22,3551
0,379,72685,12,72685,41,3548,12,3548
0,460,82676,7,82676,56,3593,19,3593
0,614,93457,4,93457,37,3550,11,3550
0,864,112387,13,112387,72,3495,10,3495
0,1204,215227,52,215227,40,3553,18,3553
0,276,42354,8,42354,56,3724,12,3724
0,550,92353,9,92353,45,3634,12,3634
0,332,64503,23,64503,36,3601,20,3601
0,469,90778,8,90778,40,3582,8,3582
0,1350,270097,19,270097,52,3577,13,3577
0,519,82779,5,82779,54,3508,10,3508
0,444,71944,9,71944,42,3595,11,3595
0,523,129827,24,129827,40,3563,14,3563
0,56,110960,18,110960,6,3529,15,3529
0,1020,150096,18,150096,67,3577,13,3577
0,882,162819,16,162819,37,3573,12,3573
0,1415,260570,15,260570,50,3425,12,3425
0,333,49357,3,49357,45,3473,5,3473
0,990,180210,18,180210,59,3597,13,3597
0,437,59381,14,59381,58,3551,11,3551
0,233,31747,8,31747,49,3420,8,3420
0,330,47861,6,47861,55,3518,12,3518
0,689,162468,39,162468,49,3643,18,3643
0,433,55326,7,55326,51,3555,12,3555
0,78,176785,18,176785,9,3602,7,3602
0,39,118066,24,118066,5,3570,14,3570
0,1033,130398,11,130398,66,3557,21,3557
0,917,118089,13,118089,52,3478,9,3478
0,1398,171195,23,171195,36,3577,13,3577
0,476,118647,11,118647,33,3660,8,3660
0,438,91897,6,91897,33,3549,12,3549
0,683,92230,23,92230,51,3602,10,3602
0,244,40953,9,40953,49,3648,15,3648
0,267,56223,18,56223,39,3469,24,3469
0,1260,186728,22,186728,51,3560,10,3560
0,314,59354,10,59354,44,3439,13,3439
0,1711,247636,21,247636,66,3576,12,3576
0,748,115930,12,115930,45,3568,11,3568
0,43,139188,13,139188,6,3502,5,3502
0,406,82453,8,82453,50,3539,12,3539
0,873,121288,49,121288,60,3560,21,3560
0,1022,142341,16,142341,32,3497,17,3497
0,873,145716,19,145716,32,3588,12,3588
0,380,64809,8,64809,52,3628,11,3628
0,244,45047,20,45047,54,3561,22,3561
0,683,105118,23,105118,40,3462,11,3462
