SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
271,72167,11,72167,6,793,1,793,943,101
737,147998,20,147998,13,868,4,868,995,102
4018,730372,154,730372,14,770,2,770,1021,95
472,53320,8,53320,18,801,3,801,1276,93
994,178217,28,178217,15,838,5,838,1085,94
604,105760,19,105760,15,825,3,825,1125,95
807,113612,12,113612,14,818,7,818,1145,104
1056,146358,11,146358,13,771,0,771,1191,87
270,44199,2,44199,8,800,5,800,986,98
736,101214,25,101214,12,766,4,766,1118,93
640,96118,15,96118,6,798,7,798,1095,104
274,70282,15,70282,9,842,3,842,970,108
613,108162,11,108162,9,827,7,827,987,99
392,72215,14,72215,10,814,2,814,945,96
1097,150573,20,150573,8,810,2,810,1064,95
417,74585,7,74585,14,816,4,816,1084,86
307,84757,24,84757,9,815,2,815,818,95
261,57354,5,57354,11,816,3,816,960,83
631,138006,48,138006,13,797,1,797,1104,89
