SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
1801,55190,27,55190,42,782,6,782
1165,45581,24,45581,51,743,6,743
1312,49533,32,49533,34,755,7,755
1536,70196,31,70196,45,827,11,827
895,40225,22,40225,47,840,13,840
2127,76745,36,76745,54,841,4,841
1532,69541,39,69541,39,779,9,779
1908,84454,48,84454,44,810,6,810
1465,70948,32,70948,28,817,6,817
2437,117129,86,117129,36,832,2,832
1632,66309,32,66309,44,794,9,794
1494,71537,44,71537,37,799,5,799
3073,110876,58,110876,53,811,4,811
2838,108300,70,108300,38,835,5,835
8118,354758,229,354758,37,764,8,764
1422,75270,26,75270,37,772,3,772
1372,61636,23,61636,34,789,5,789
5113,226529,92,226529,58,842,9,842
2377,160365,91,160365,32,790,6,790
1361,52328,32,52328,40,805,5,805
1305,68848,44,68848,48,795,6,795
1056,43492,29,43492,52,899,10,899
2306,108484,53,108484,31,777,3,777
1490,75916,52,75916,41,867,4,867
1362,54527,36,54527,42,774,5,774
1534,60341,20,60341,54,840,8,840
22288,1090195,508,1090195,43,842,9,842
1846,82580,28,82580,45,814,4,814
1072,47443,36,47443,39,812,9,812
1920,71525,34,71525,36,812,7,812
2191,80821,47,80821,47,829,3,829
2932,126196,64,126196,56,858,6,858
1649,55049,18,55049,41,834,3,834
3962,172425,96,172425,51,806,3,806
946,46536,14,46536,35,821,4,821
1094,66717,35,66717,46,796,7,796
2779,139689,68,139689,46,807,10,807
1727,63246,44,63246,50,812,2,812
3098,144387,80,144387,42,823,8,823
1398,63943,30,63943,43,842,9,842
979,41974,28,41974,42,787,7,787
1151,60547,40,60547,34,803,9,803
4695,162643,61,162643,49,786,5,786
1537,69245,37,69245,51,835,9,835
1557,85525,61,85525,34,843,6,843
1417,63242,34,63242,36,831,11,831
953,42867,16,42867,51,832,4,832
1905,72167,29,72167,44,793,6,793
4150,147998,67,147998,49,868,4,868
18155,730372,442,730372,34,770,5,770
1008,53320,36,53320,41,801,4,801
4042,178217,61,178217,32,838,8,838
3081,105760,44,105760,41,825,2,825
2875,113612,58,113612,48,818,5,818
3314,146358,98,146358,34,771,6,771
913,44199,18,44199,28,800,6,800
2154,101214,29,101214,37,766,6,766
1880,96118,63,96118,28,798,7,798
1765,70282,36,70282,43,842,3,842
2006,108162,55,108162,31,827,6,827
2150,72215,39,72215,46,814,5,814
3319,150573,58,150573,46,810,7,810
1312,74585,27,74585,34,816,5,816
2165,84757,53,84757,47,815,6,815
1318,57354,20,57354,35,816,2,816
3362,138006,58,138006,43,797,5,797
