SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled,SN HIV+,CN HIV+
35,18785,6,18785,2,812,6,812,605,116,319,94
63,28102,1,28102,7,796,3,796,601,93,309,75
37,19929,2,19929,4,786,3,786,602,82,301,73
24,13253,2,13253,6,833,0,833,603,87,294,72
46,18893,2,18893,2,829,3,829,600,94,308,78
40,18688,4,18688,4,770,4,770,600,99,298,79
37,23270,4,23270,6,759,2,759,605,87,292,73
27,16548,5,16548,6,812,5,812,603,98,302,80
49,16417,2,16417,4,800,6,800,604,94,306,81
61,22820,4,22820,6,767,3,767,602,98,306,80
55,30339,7,30339,9,789,3,789,602,86,308,75
59,21795,2,21795,10,830,4,830,603,87,330,74
34,15311,2,15311,3,789,5,789,601,97,300,79
30,15253,3,15253,3,844,2,844,601,90,321,76
37,22001,9,22001,5,851,5,851,602,92,311,81
32,20615,5,20615,1,801,5,801,601,97,295,78
50,18983,2,18983,2,781,3,781,600,99,324,81
27,15677,2,15677,6,807,1,807,600,80,303,67
25,15447,4,15447,8,821,2,821,604,88,303,72
40,22081,2,22081,5,794,3,794,605,87,289,74
28,13947,2,13947,2,797,1,797,602,98,291,79
42,17603,4,17603,6,824,0,824,604,79,318,67
61,18964,4,18964,4,802,2,802,601,101,321,85
41,16636,1,16636,5,829,5,829,600,96,316,82
45,20022,6,20022,7,852,2,852,605,85,316,79
35,15673,4,15673,4,826,5,826,601,95,291,82
28,14818,1,14818,4,783,1,783,601,92,302,75
40,17915,5,17915,6,859,3,859,602,98,308,76
53,20679,4,20679,7,791,3,791,601,103,329,78
53,24611,3,24611,5,831,5,831,600,95,303,82
40,19612,3,19612,5,816,5,816,604,106,299,87
45,23267,4,23267,4,803,6,803,603,96,301,83
31,14216,2,14216,3,765,1,765,600,88,299,76
18,11943,1,11943,5,772,1,772,604,84,287,73
61,32506,10,32506,8,815,5,815,601,99,312,86
42,17945,6,17945,5,882,6,882,600,94,318,77
33,18148,3,18148,10,852,4,852,603,91,298,77
34,14596,2,14596,6,799,2,799,600,103,309,79
64,18948,4,18948,5,797,5,797,604,91,319,79
47,18717,4,18717,8,823,5,823,601,99,292,83
38,15960,3,15960,6,801,4,801,601,93,288,77
35,14276,6,14276,8,771,7,771,600,109,297,85
42,20024,2,20024,4,813,2,813,600,94,304,76
40,14180,4,14180,5,796,5,796,602,90,313,75
52,23613,5,23613,4,786,6,786,602,98,305,80
25,10348,1,10348,10,773,3,773,603,95,302,81
39,23862,3,23862,8,797,3,797,603,89,307,77
39,15622,2,15622,3,772,3,772,603,99,296,78
32,13259,1,13259,2,807,3,807,600,107,308,87
39,16550,4,16550,4,803,2,803,600,93,293,75
50,15787,5,15787,4,737,4,737,602,90,288,80
43,15639,5,15639,7,842,6,842,600,99,291,83
59,21448,5,21448,3,826,4,826,603,95,301,80
46,19403,3,19403,2,785,1,785,600,80,285,68
55,22799,7,22799,2,797,4,797,604,93,309,80
53,22061,5,22061,5,754,4,754,602,81,295,73
49,22670,4,22670,4,797,2,797,600,86,302,72
32,13158,2,13158,7,787,7,787,604,89,305,77
69,24695,3,24695,9,782,1,782,604,97,298,84
64,39544,5,39544,7,846,3,846,601,97,300,79
47,17847,2,17847,6,775,5,775,603,91,294,76
72,27207,2,27207,8,782,1,782,600,95,291,75
30,13892,3,13892,7,753,2,753,604,96,308,83
63,18421,2,18421,3,822,5,822,601,89,313,79
50,21039,2,21039,0,787,3,787,603,92,303,79
56,20353,1,20353,3,827,6,827,600,102,308,83
53,22296,7,22296,9,798,3,798,602,92,318,79
37,19567,5,19567,5,811,2,811,603,99,288,78
33,14889,2,14889,3,803,2,803,604,81,323,69
55,21632,5,21632,5,821,4,821,600,96,317,79
30,16316,2,16316,5,820,3,820,602,84,310,77
76,22753,4,22753,5,837,1,837,604,90,325,76
32,13073,2,13073,2,880,7,880,603,94,318,81
24,11685,5,11685,3,823,2,823,601,88,300,79
39,14316,2,14316,4,854,6,854,600,87,320,77
37,16031,3,16031,3,829,4,829,600,96,306,79
57,22788,4,22788,5,847,8,847,602,111,304,89
62,23997,6,23997,7,810,5,810,605,99,311,81
36,18324,3,18324,5,831,3,831,602,89,294,74
44,20998,3,20998,4,806,1,806,605,86,278,76
70,23733,3,23733,4,820,1,820,602,114,321,87
29,12882,1,12882,5,778,3,778,603,84,311,73
39,16863,6,16863,3,827,3,827,605,91,309,75
65,31683,13,31683,3,835,7,835,603,93,309,81
40,19238,7,19238,9,828,7,828,601,104,298,84
36,18493,5,18493,9,809,5,809,601,97,297,76
74,24024,4,24024,6,846,7,846,600,108,330,86
41,16003,1,16003,8,800,1,800,600,90,302,75
28,17281,2,17281,2,857,4,857,604,83,311,70
29,14030,4,14030,4,845,5,845,603,105,319,86
62,26390,4,26390,8,784,2,784,605,92,292,74
22,12506,1,12506,6,826,3,826,605,91,305,75
80,24713,2,24713,2,787,2,787,600,87,291,72
57,19925,3,19925,7,838,3,838,600,96,306,82
72,27035,5,27035,4,835,5,835,605,104,305,83
68,28037,5,28037,6,844,3,844,600,87,300,75
44,20071,1,20071,6,821,2,821,604,77,312,69
47,18845,0,18845,4,859,2,859,600,90,316,77
45,22686,4,22686,3,796,3,796,601,96,298,80
61,16365,8,16365,6,817,8,817,603,102,336,84
51,18109,1,18109,9,739,1,739,603,84,315,70
51,21644,5,21644,7,815,7,815,601,91,308,80
25,18310,5,18310,2,794,6,794,600,95,285,78
99,35398,10,35398,0,761,3,761,603,100,311,85
97,40959,6,40959,4,721,2,721,602,90,310,73
84,27343,5,27343,8,887,3,887,603,101,300,81
62,20390,6,20390,4,811,5,811,602,117,318,95
37,15730,2,15730,4,800,3,800,602,94,297,80
64,21127,1,21127,4,831,2,831,605,85,310,73
37,20303,6,20303,4,833,4,833,604,89,297,76
30,17614,1,17614,3,775,3,775,605,88,299,73
51,18468,1,18468,5,835,3,835,602,87,307,75
61,18147,4,18147,8,811,3,811,605,88,331,75
50,25128,4,25128,8,828,1,828,600,92,300,76
43,18299,5,18299,3,878,2,878,601,98,313,75
43,16833,1,16833,6,831,6,831,601,104,303,85
33,11942,1,11942,5,810,3,810,601,90,296,74
21,12460,0,12460,5,848,3,848,603,96,324,82
44,24185,4,24185,5,800,3,800,605,91,296,75
37,18190,2,18190,4,790,4,790,600,100,294,78
64,23013,2,23013,5,823,5,823,604,91,347,76
37,15687,2,15687,8,825,3,825,604,109,306,83
43,18443,3,18443,1,792,2,792,601,86,282,72
49,16053,2,16053,6,802,3,802,605,90,297,78
96,36147,7,36147,4,786,5,786,604,103,317,88
56,22218,2,22218,4,790,4,790,600,100,321,80
56,21282,3,21282,7,791,6,791,600,95,290,79
40,15050,5,15050,9,848,4,848,604,100,332,83
